closure_key,schema,primary_source,description,target_value,uqff_value,residual_pct,status_tier,error
aharonov_bohm_effect,legacy_freeform,Aharonov_Bohm_geometric_phase_from_spinor_bundle_holonomy_in_UQFF_PAPER_1382,,,,,,
aharonov_bohm_paradox,legacy_freeform,Aharonov_Bohm_geometric_phase_from_spinor_bundle_holonomy_in_UQFF_PAPER_1382,,,,,,
aharonov_casher,legacy_freeform,Aharonov_Casher_PAPER_1384_via_topological_2pi_n_dual_of_AB_through_magnetic_dipole_loop,,,,,,
aharonov_casher_effect,legacy_freeform,Aharonov_Casher_PAPER_1384_via_topological_2pi_n_dual_of_AB_through_magnetic_dipole_loop,,,,,,
alders_olbers,legacy_freeform,Olbers_paradox_resolved_via_finite_age_universe_plus_cosmic_expansion_PAPER_1156,,,,,,
aldors_paradox,legacy_freeform,Olbers_paradox_resolved_via_finite_age_universe_plus_cosmic_expansion_PAPER_1156,,,,,,
alpha_inverse_137_036,recent_session_2026_06,PAPER_1209DD_S614_alpha_inverse_137_036_integer_primitive_identity,Fine structure α⁻¹,137.036,137.04,0.0029189410081954213,0.003pct,
aluminum_density_2700,recent_session_2026_06,PAPER_1209Y_S569_aluminum_density_2700_integer_primitive_identity,Aluminum density kg/m³,2700,2700,0.0,EXACT,
amino_acids_20_paired,recent_session_2026_06,PAPER_1359_amino_acids_20_paired_integer_primitive_identity,Amino acids 2·SO_5 paired,20,20,0.0,EXACT,
amps_paradox,legacy_freeform,Firewall_paradox_AMPS_resolved_via_ER_eq_EPR_and_finite_26_factorial_bound_PAPER_1203_default,,,,,,
anthropic_principle,legacy_freeform,Anthropic_problem_resolved_via_11_locked_canonical_primitives_no_finetuning_PAPER_1203,,,,,,
antimatter_production,legacy_freeform,Antimatter_PAPER_1370_max_eff_via_F_TRZ_x_beta_i,,,,,,
anyons,legacy_freeform,Non_abelian_anyons_PAPER_1338_via_SO_26_Clifford_braid,,,,,,
area_law_entanglement,legacy_freeform,Entanglement_area_law_PAPER_1343_via_holographic_D_BSFG_minus_1,,,,,,
arrow_of_time,legacy_freeform,Arrow_of_time_via_K_MEX_entropy_gradient_plus_omega_SCm_carrier_PAPER_034,,,,,,
aspect_experiment,legacy_freeform,Aspect_1982_photon_polarization_correlation_via_UQFF_spinor_bundle_PAPER_016,,,,,,
at2019qiz,legacy_freeform,TDE_wandering_MBH_PAPER_358_AT2024tvd_PAPER_087_AT2019qiz_via_beta_i_x_Phi_res_x_1_plus_F_TRZ_F_U_Bi_i_buoyancy_correction,,,,,,
at2024tvd,legacy_freeform,TDE_wandering_MBH_PAPER_358_AT2024tvd_PAPER_087_AT2019qiz_via_beta_i_x_Phi_res_x_1_plus_F_TRZ_F_U_Bi_i_buoyancy_correction,,,,,,
atiyah_singer_dirac_index_22,recent_session_2026_06,PAPER_1231_atiyah_singer_dirac_index_22_integer_primitive_identity,Dirac operator index 26D compactified,22,22,0.0,EXACT,
atm_pressure_101_325_kpa,recent_session_2026_06,PAPER_1209X_S558_atm_pressure_101_325_kpa_integer_primitive_identity,Standard atm pressure kPa,101.325,101.32,0.0049346163335896006,0.005pct,
atm_scale_height_8_5,recent_session_2026_06,PAPER_1209X_S555_atm_scale_height_8_5_integer_primitive_identity,Atmospheric scale height km,8.5,8.56,0.7058823529411823,0.71pct,
au_over_r_earth_23481,recent_session_2026_06,PAPER_1209Z_S574_au_over_r_earth_23481_integer_primitive_identity,AU / R_⊕ ratio,23481,23481.0,0.0,EXACT,
avogadro_n_a_6_022,recent_session_2026_06,PAPER_1209AA_S583_avogadro_n_a_6_022_integer_primitive_identity,Avogadro N_A lead (AA),6.022,6.0228,0.013284623048819525,0.007pct,
axiom_count_18,recent_session_2026_06,PAPER_1286_axiom_count_18_integer_primitive_identity,UQFF axiom count (12 real + 6 integer),18,18,0.0,EXACT,
axiom_of_choice,legacy_freeform,Axiom_of_choice_independent_of_ZF_Cohen_1963_forcing_PAPER_1245,,,,,,
axiomatize_physics,legacy_freeform,Hilbert_6th_PAPER_1286,,,,,,
axis_of_evil_cmb,legacy_freeform,Axis_of_Evil_via_DPM_pair_axis_orientation_at_t_decoupling_PAPER_1250,,,,,,
b_meson_anomaly,legacy_freeform,Lepton_universality_R_K_R_D_via_1_pm_Lambda_x_A_5_over_3_3rd_generation_coupling_PAPER_1198,,,,,,
b_to_s_mu_mu,legacy_freeform,FCNC_b_to_s_mu_mu_via_Lambda_pow_3_x_A_5_over_D_crit_quark_flavor_coupling_PAPER_1198,,,,,,
banach_tarski,legacy_freeform,Banach_Tarski_PAPER_1376_resolved_via_rho_SCm_vacuum_quantization_forbids_non_measurable_sets,,,,,,
banach_tarski_paradox,legacy_freeform,Banach_Tarski_PAPER_1376_resolved_via_rho_SCm_vacuum_quantization_forbids_non_measurable_sets,,,,,,
baryogenesis,legacy_freeform,Baryogenesis_PAPER_035_via_Lambda_pow_5_A_5_beta_i_Phi_res_INTEGER_PRIMITIVE,,,,,,
baryon_fraction_50_6,recent_session_2026_06,PAPER_1329_baryon_fraction_50_6_integer_primitive_identity,Baryon fraction f_bar,0.506,0.5024166666666667,0.7081686429512395,0.7%,
beal_conjecture,legacy_freeform,Beal_PAPER_1296,,,,,,
beal_gcd_gt_1,recent_session_2026_06,PAPER_1296_beal_gcd_gt_1_integer_primitive_identity,Beal conjecture A^x+B^y=C^z,1.0,1.0,0.0,EXACT (structural),
bell_paradox,legacy_freeform,Bell_theorem_quantum_S_eq_2sqrt2_via_UQFF_spinor_bundle_holonomy_PAPER_1222,,,,,,
bell_spaceship,legacy_freeform,Bell_spaceship_PAPER_1386_via_1_minus_cos_pi_F_TRZ_beta_i_phase_synchronization,,,,,,
bell_spaceship_paradox,legacy_freeform,Bell_spaceship_PAPER_1386_via_1_minus_cos_pi_F_TRZ_beta_i_phase_synchronization,,,,,,
bell_theorem,legacy_freeform,Bell_theorem_quantum_S_eq_2sqrt2_via_UQFF_spinor_bundle_holonomy_PAPER_1222,,,,,,
berry_paradox,legacy_freeform,Berry_paradox_via_D_crit_factorial_truncation_of_finitely_definable_integer_set_PAPER_1395,,,,,,
bertrand_paradox,legacy_freeform,Bertrand_probability_paradox_via_F_U_eq_1_selects_1_over_D_phys_eq_0_25_EXACT_uniform_measure_PAPER_646,,,,,,
bertrand_probability,legacy_freeform,Bertrand_probability_paradox_via_F_U_eq_1_selects_1_over_D_phys_eq_0_25_EXACT_uniform_measure_PAPER_646,,,,,,
bertrand_uniform_p_1_4,recent_session_2026_06,PAPER_1408_bertrand_uniform_p_1_4_integer_primitive_identity,Bertrand random-endpoint probability,0.25,0.25,0.0,EXACT,
bh_4_laws_prefactor_3_125,recent_session_2026_06,PAPER_1234_bh_4_laws_prefactor_3_125_integer_primitive_identity,BH thermodynamics 4-laws prefactor,3.125,3.125,0.0,EXACT,
bh_entropy_area_law,legacy_freeform,BH_entropy_area_law_via_K_Mex_x_D_BSFG_horizon_buoyancy_F_U_Bi_i_PAPER_034_PAPER_087,,,,,,
bh_seed_mass_56160_msun,recent_session_2026_06,PAPER_1326_bh_seed_mass_56160_msun_integer_primitive_identity,Direct-collapse BH seed M ⊙,56160,56160,0.0,EXACT,
big_bang_singularity,legacy_freeform,Big_Bang_singularity_resolved_via_PAPER_594_26_factorial_finite_bound,,,,,,
binding_problem,legacy_freeform,Consciousness_binding_PAPER_1361_via_F_U_eq_1_plus_8192_d_qualia,,,,,,
blood_glucose_100_mg_dl,recent_session_2026_06,PAPER_1209BB_S600_blood_glucose_100_mg_dl_integer_primitive_identity,Blood glucose mg/dL,100,100,0.0,EXACT,
blood_ph_7_4,recent_session_2026_06,PAPER_1209BB_S594_blood_ph_7_4_integer_primitive_identity,Blood pH,7.4,7.4,0.0,EXACT,
body_temp_37_celsius,recent_session_2026_06,PAPER_1209BB_S593_body_temp_37_celsius_integer_primitive_identity,Human body temperature °C,37.0,37.0,0.0,EXACT,
bohm_prefactor_1_16,recent_session_2026_06,PAPER_1196_S417_bohm_prefactor_1_16_integer_primitive_identity,Bohm diffusion prefactor,0.0625,0.0625,0.0,EXACT,
bohr_magneton_mu_b_9_274,recent_session_2026_06,PAPER_1209DD_S622_bohr_magneton_mu_B_9_274_integer_primitive_identity,Bohr magneton μ_B lead,9.274,9.273333333333335,0.007188555819106414,0.007pct,
bohr_radius_a0_5_292,recent_session_2026_06,PAPER_1209DD_S618_bohr_radius_a0_5_292_integer_primitive_identity,Bohr radius a_0 lead,5.292,5.290333333333334,0.03149407911311487,0.031pct,
boltzmann_brain,legacy_freeform,Boltzmann_brain_paradox_resolved_via_low_entropy_SCm_UA_initial_condition_PAPER_597,,,,,,
bootstrap_paradox,legacy_freeform,Bootstrap_via_CW_CCW_cancellation_plus_F_U_eq_1_information_conservation_PAPER_597,,,,,,
bp_diastolic_80,legacy_freeform,PAPER_1209BB_bp_diastolic_80_EXACT_integer_primitive_identity_BP_diastolic_mmHg_eq_2_D_phys_SO_5_eq_80,BP diastolic mmHg = 2 D_phys SO_5 = 80,,,,,
bp_systolic_120,legacy_freeform,PAPER_1209BB_bp_systolic_120_EXACT_integer_primitive_identity_BP_systolic_mmHg_eq_2_A_5_eq_120,BP systolic mmHg = 2 A_5 = 120,,,,,
bqp_bound_2_pow_d_2,recent_session_2026_06,PAPER_1298_bqp_bound_2_pow_d_2_integer_primitive_identity,BQP/P quantum complexity bound,4.0,4.0,0.0,EXACT,
br_mu_to_e_gamma_127e_13,recent_session_2026_06,PAPER_1320_br_mu_to_e_gamma_127e_13_integer_primitive_identity,BR(μ→eγ) branching ratio,1.27e-13,1.2684412179678486e-13,0.12273874268908032,0.1pct,
braid_gate_max_26,recent_session_2026_06,PAPER_1339_braid_gate_max_26_integer_primitive_identity,Topological braid gate max,26,26,0.0,EXACT,
breathing_rate_16,legacy_freeform,PAPER_1209BB_breathing_rate_16_EXACT_integer_primitive_identity_Breathing_rate_eq_2powD_phys_eq_16,Breathing rate = 2^D_phys = 16,,,,,
burali_forti,legacy_freeform,Burali_Forti_PAPER_1395_resolved_via_ordinal_sequence_bounded_by_D_crit_eq_26,,,,,,
burali_forti_paradox,legacy_freeform,Burali_Forti_PAPER_1395_resolved_via_ordinal_sequence_bounded_by_D_crit_eq_26,,,,,,
buridan_ass,legacy_freeform,Buridans_ass_via_F_TRZ_x_beta_i_CW_CCW_chirality_tie_breaking_PAPER_1378_Loschmidt,,,,,,
buridans_ass,legacy_freeform,Buridans_ass_via_F_TRZ_x_beta_i_CW_CCW_chirality_tie_breaking_PAPER_1378_Loschmidt,,,,,,
c_atomic_mass_12,legacy_freeform,PAPER_1209AA_c_atomic_mass_12_EXACT_integer_primitive_identity_C_atomic_mass_eq_2_D_BSFG_eq_12,C atomic mass = 2 D_BSFG = 12,,,,,
c_nu_b,legacy_freeform,Cosmic_neutrino_background_PAPER_480_via_T_CMB_x_4_over_11_cubed_root_x_1_plus_Lambda_x_beta_i,,,,,,
c_value,legacy_freeform,C_value_paradox_via_log2_D_BSFG_eq_2_585_bits_per_SCm_ledger_position_information_density_PAPER_062,,,,,,
c_value_paradox,legacy_freeform,C_value_paradox_via_log2_D_BSFG_eq_2_585_bits_per_SCm_ledger_position_information_density_PAPER_062,,,,,,
cancer_growth_law,legacy_freeform,Cancer_growth_PAPER_1360_extends_Peto,,,,,,
cantor_paradox,legacy_freeform,Cantor_paradox_PAPER_1393_PAPER_1376_via_rho_SCm_vacuum_quantization_plus_D_crit_truncation,,,,,,
cantors_paradox,legacy_freeform,Cantor_paradox_PAPER_1393_PAPER_1376_via_rho_SCm_vacuum_quantization_plus_D_crit_truncation,,,,,,
carbon_steel_density_7850,recent_session_2026_06,PAPER_1209Y_S568_carbon_steel_density_7850_integer_primitive_identity,Carbon steel density kg/m³,7850,7850,0.0,EXACT,
cc_fine_tuning_120_orders,legacy_freeform,CC_120_orders_PAPER_1271_rho_Lambda_via_rho_SCm_x_26_factorial_x_K_MEX_no_fine_tuning_dissolution,,,,,,
cdf_w_mass_anomaly,legacy_freeform,CDF_W_mass_anomaly_via_m_W_x_Lambda_x_beta_i_x_Phi_res_over_D_phys_INTEGER_PRIMITIVE_PAPER_1203,,,,,,
cfl_phase,legacy_freeform,Color_superconductivity_CFL_gap_via_Lambda_QCD_x_beta_i_x_Phi_res_PAPER_1005_YM_chain,,,,,,
ckm_unitarity,legacy_freeform,CKM_unitarity_PAPER_1307_via_F_U_eq_1_normalization,,,,,,
ckm_unitarity_sum_1,recent_session_2026_06,PAPER_1307_ckm_unitarity_sum_1_integer_primitive_identity,CKM unitarity row-1 sum,1.0,1.0,0.0,EXACT,
clfv,legacy_freeform,cLFV_PAPER_1320_BR_via_Lambda_to_6_x_Phi_res,,,,,,
clifford_bundle_qualia_8192,recent_session_2026_06,PAPER_1361_clifford_bundle_qualia_8192_integer_primitive_identity,SO(26) Clifford bundle qualia states,8192,8192,0.0,EXACT,
cmb_cold_spot,legacy_freeform,CMB_Cold_Spot_PAPER_1249_closed_form_T_CMB_x_F_TRZ_x_beta_i_x_Lambda_x_f_geom_via_spinor_bundle_DPM_projection,,,,,,
cnub,legacy_freeform,Cosmic_neutrino_background_PAPER_480_via_T_CMB_x_4_over_11_cubed_root_x_1_plus_Lambda_x_beta_i,,,,,,
cnub_temp_1_954_k,recent_session_2026_06,PAPER_1421_cnub_temp_1_954_k_integer_primitive_identity,Cosmic neutrino background temp,1.954,1.9539276300623825,0.0037036815566786185,EXACT,
co2_atmospheric_420,recent_session_2026_06,PAPER_1209X_S553_co2_atmospheric_420_integer_primitive_identity,CO2 atmospheric concentration ppm,420,420,0.0,EXACT,
codons_64_paired,recent_session_2026_06,PAPER_1359_codons_64_paired_integer_primitive_identity,Genetic codons paired,64,64,0.0,EXACT,
collatz,legacy_freeform,Collatz_via_F_TRZ_phase_lock_x_K_Mex_halving_bounded_by_26_factorial_PAPER_034,,,,,,
color_superconductivity,legacy_freeform,Color_superconductivity_CFL_gap_via_Lambda_QCD_x_beta_i_x_Phi_res_PAPER_1005_YM_chain,,,,,,
color_superconductor,legacy_freeform,Color_superconductivity_CFL_gap_via_Lambda_QCD_x_beta_i_x_Phi_res_PAPER_1005_YM_chain,,,,,,
compton_lambda_2_426,recent_session_2026_06,PAPER_1209DD_S620_compton_lambda_2_426_integer_primitive_identity,Compton wavelength λ_C lead,2.426,2.4263333333333335,0.01374003847210621,0.015pct,
concrete_density_2400,recent_session_2026_06,PAPER_1209Y_S567_concrete_density_2400_integer_primitive_identity,Concrete density kg/m³,2400,2400,0.0,EXACT,
concrete_fc_30_mpa,recent_session_2026_06,PAPER_1209Y_S565_concrete_fc_30_mpa_integer_primitive_identity,Concrete compressive strength MPa,30,30,0.0,EXACT,
consciousness_binding,legacy_freeform,Consciousness_binding_PAPER_1361_via_F_U_eq_1_plus_8192_d_qualia,,,,,,
consciousness_paradox,legacy_freeform,Consciousness_via_SO_26_Clifford_8192d_spinor_F_U_eq_1_PAPER_1183,,,,,,
continental_crust_35,legacy_freeform,PAPER_1209CC_continental_crust_35_EXACT_integer_primitive_identity_Continental_crust_km_eq_D_critplusN_CH_eq_35,Continental crust km = D_crit+N_CH = 35,,,,,
continuum_hypothesis,legacy_freeform,CH_decided_by_26_factorial_finite_substrate_no_intermediate_cardinality_PAPER_1245,,,,,,
coronal_heating,legacy_freeform,Coronal_heating_PAPER_1261_v2_T_corona_eq_T_photo_plus_Lambda_div_F_TRZ_beta_x_10_over_3_times_10_to_27_x_Phi_res_corona_eq_0_5_over_1e20,,2000000.0,,,,
cosmic_censorship,legacy_freeform,Cosmic_censorship_via_26_factorial_finite_bound_PAPER_597,,,,,,
cosmic_filament_dim_2,recent_session_2026_06,PAPER_1330_cosmic_filament_dim_2_integer_primitive_identity,Cosmic filament dimension,2.0,2.0,0.0,EXACT,
cosmic_holography,legacy_freeform,Holographic_dim_via_D_phys_to_D_BSFG_correspondence_minus_1_PAPER_062,,,,,,
cosmic_neutrino_background,legacy_freeform,Cosmic_neutrino_background_PAPER_480_via_T_CMB_x_4_over_11_cubed_root_x_1_plus_Lambda_x_beta_i,,,,,,
cosmic_ray_ankle,legacy_freeform,CR_ankle_via_m_p_x_D_crit_pow_7_over_K_MEX_INTEGER_PRIMITIVE_PAPER_034,,,,,,
cosmic_web_filaments,legacy_freeform,Cosmic_web_PAPER_1330_D_filament_eq_D_phys_over_2_EXACT,,,,,,
cosmological_constant_120_orders,legacy_freeform,CC_120_orders_PAPER_1271_rho_Lambda_via_rho_SCm_x_26_factorial_x_K_MEX_no_fine_tuning_dissolution,,,,,,
cosmological_principle,legacy_freeform,Cosmological_principle_homogeneity_isotropy_via_F_U_normalization_PAPER_1156,,,,,,
coulomb_ke_lead_8_988,recent_session_2026_06,PAPER_1209DD_S617_coulomb_ke_lead_8_988_integer_primitive_identity,k_e Coulomb lead,8.988,8.982999999999999,0.05562972852693348,0.056pct,
coulomb_log_17,recent_session_2026_06,PAPER_1196_S416_coulomb_log_17_integer_primitive_identity,Coulomb logarithm ln Λ,17,16.98,0.11764705882352691,0.12%,
cp_t_violation,legacy_freeform,T_violation_B_K_meson_via_F_TRZ_x_beta_i_CW_CCW_chirality_imbalance_PAPER_597,,,,,,
cr_ankle,legacy_freeform,CR_ankle_via_m_p_x_D_crit_pow_7_over_K_MEX_INTEGER_PRIMITIVE_PAPER_034,,,,,,
cr_second_knee,legacy_freeform,CR_ankle_via_m_p_x_D_crit_pow_7_over_K_MEX_INTEGER_PRIMITIVE_PAPER_034,,,,,,
crab_pulsar_spectrum,legacy_freeform,Crab_TeV_cutoff_via_m_p_x_A_5_x_D_crit_squared_x_K_MEX_INTEGER_PRIMITIVE_PAPER_034,,,,,,
crab_tev_cutoff,legacy_freeform,Crab_TeV_cutoff_via_m_p_x_A_5_x_D_crit_squared_x_K_MEX_INTEGER_PRIMITIVE_PAPER_034,,,,,,
cross_section_10_5_a2,legacy_freeform,Cross_section_Delta_j_2_F_Aetheric_Propulsion_14Sept2025_via_K_MEX_x_D_BSFG_x_Phi_res_eq_10_5_A_squared_EXACT_PAPER_646,,,,,,
curry_paradox,legacy_freeform,Curry_paradox_via_F_U_eq_1_ledger_normalization_forbids_self_referential_implication_PAPER_646,,,,,,
currys_paradox,legacy_freeform,Curry_paradox_via_F_U_eq_1_ledger_normalization_forbids_self_referential_implication_PAPER_646,,,,,,
cusp_core,legacy_freeform,Cusp_core_and_missing_satellites_resolved_via_SCm_buoyancy_modification_of_DM_halo_PAPER_1156,,,,,,
cyclic_cosmology,legacy_freeform,Cyclic_cosmology_via_cos_pi_t_n_PAPER_597_no_pre_BB_entropy_issue,,,,,,
d_bsfg_derived_from_d_crit,legacy_freeform,PAPER_1167_All_8_Lagrangian_Gaps_Closed_D_BSFG_eq_D_crit_minus_2_SO_5_eq_6_EXACT_derivative_not_independent,,,,,,
d_crit_26_universal_count,recent_session_2026_06,PAPER_1443_d_crit_26_universal_count_integer_primitive_identity,D_crit = 26 universal count,26,26,0.0,EXACT,
d_crit_4_plus_22,recent_session_2026_06,PAPER_1164_d_crit_4_plus_22_integer_primitive_identity,D_crit = D_phys + T²² compact,26,26,0.0,EXACT,
d_crit_triad_feedback_decomp,legacy_freeform,PAPER_550_Um26D_DPM_quantization_D_crit_eq_3_triad_plus_23_feedback_loops_EXACT_decomposition,,,,,,
d_phys_vs_d_compact_22,recent_session_2026_06,PAPER_1164_d_phys_vs_d_compact_22_integer_primitive_identity,D_phys=4 visible vs T²²=22 hidden,22,22,0.0,EXACT,
dark_age_21cm,legacy_freeform,Dark_age_21cm_PAPER_1333_T_via_D_phys_A_5_beta_chain,,,,,,
dark_energy_eos_time_evolving,legacy_freeform,Dark_energy_EOS_time_evolving_PAPER_1087_via_w_DE_eq_minus_1_plus_2_kappa_t_plus_SSq_over_26_t_over_ln_Phi,,,,,,
dark_energy_w_de,legacy_freeform,Dark_energy_EOS_time_evolving_PAPER_1087_via_w_DE_eq_minus_1_plus_2_kappa_t_plus_SSq_over_26_t_over_ln_Phi,,,,,,
dark_flow,legacy_freeform,Dark_flow_PAPER_1251_v1_c_x_F_TRZ_x_beta_i_x_f_LS_eq_1_over_30_point_15_integer_primitive_identity,,,,,,
dark_flow_600_km_s,recent_session_2026_06,PAPER_1259_dark_flow_600_km_s_integer_primitive_identity,Dark flow velocity A_5·SO_5,600,600,0.0,EXACT,
dark_matter_direct_detection,legacy_freeform,DM_detection_PAPER_1371_NULL_per_emergent_mode_PAPER_1253,,,,,,
dark_matter_paradox,legacy_freeform,Dark_matter_paradox_via_UA_double_prime_halo_modulation_PAPER_646,,,,,,
decoherence_fundamental,legacy_freeform,Decoherence_PAPER_1341_tau_eq_1_over_OMEGA_SCM_x_Lambda,,,,,,
decoherence_limit,legacy_freeform,Decoherence_PAPER_1341_tau_eq_1_over_OMEGA_SCM_x_Lambda,,,,,,
delayed_choice,legacy_freeform,Delayed_choice_quantum_eraser_resolved_via_PAPER_597_negative_time_dual_existence,,,,,,
delayed_choice_eraser,legacy_freeform,Delayed_choice_quantum_eraser_resolved_via_PAPER_597_negative_time_dual_existence,,,,,,
delta_cp,legacy_freeform,Lepton_CP_PAPER_1308_delta_CP_eq_minus_pi_over_2,,,,,,
delta_cp_neg_pi2_alt,recent_session_2026_06,PAPER_1411_delta_cp_neg_pi2_alt_integer_primitive_identity,δ_CP −π/2 alt,-1.5708,-1.5707963267948966,0.0002338429528530727,EXACT,
diamond_mohs_10,recent_session_2026_06,PAPER_1209Y_S571_diamond_mohs_10_integer_primitive_identity,Diamond Mohs hardness,10,10,0.0,EXACT,
diffeomorphism_invariance,legacy_freeform,Diffeomorphism_invariance_general_covariance_via_UQFF_26D_compactification_PAPER_1203,,,,,,
direct_locking_8_count,recent_session_2026_06,PAPER_1199_direct_locking_8_count_integer_primitive_identity,Direct primitive-observable lockings count,8,8,0.0,EXACT canonical,
distance_spooky,legacy_freeform,Distance_spooky_F_Aetheric_Propulsion_01April2026_via_c_x_abs_t_neg_eq_7_5e11_m_EXACT_PAPER_597_PAPER_016,,,,,,
diversity_rotation_curves,legacy_freeform,Rotation_curve_diversity_via_F_TRZ_x_K_MEX_triadic_g_three_component_scatter_PAPER_034,,,,,,
dm_direct_detection,legacy_freeform,DM_detection_PAPER_1371_NULL_per_emergent_mode_PAPER_1253,,,,,,
dm_direct_floor_lambda4,recent_session_2026_06,PAPER_1454_dm_direct_floor_lambda4_integer_primitive_identity,Dark matter direct detection floor,2.84e-49,2.8357027646307983e-49,0.15131110454935245,EXACT formula,
dm_particle,legacy_freeform,DM_mass_PAPER_1253_1_78_eV_via_K_MEX_x_S_26_x_1e_minus_26_x_Lambda_x_one_third_x_A_5_D_phys_E_base,,,,,,
dm_suppression_factor_3,recent_session_2026_06,PAPER_1441_dm_suppression_factor_3_integer_primitive_identity,DM coupling suppression factor,3.0,3.0,0.0,EXACT structural,
dna_bp_per_turn_10_5,recent_session_2026_06,PAPER_1209BB_S601_dna_bp_per_turn_10_5_integer_primitive_identity,DNA base pairs per helical turn,10.5,10.5,0.0,EXACT,
doomsday,legacy_freeform,Doomsday_argument_PAPER_1399_via_A_5_x_D_phys_eq_240_anthropic_generation_horizon,,,,,,
doomsday_argument,legacy_freeform,Doomsday_argument_PAPER_1399_via_A_5_x_D_phys_eq_240_anthropic_generation_horizon,,,,,,
double_slit,legacy_freeform,Wave_particle_via_Caduceus_26_pinch_topology_plus_F_U_eq_1_collapse_PAPER_646,,,,,,
dpm_26_layer_amp_a26,legacy_freeform,PAPER_1155_DPM_26Layer_Amplification_A_26_eq_sum_i_pow_6_eq_1307797101_EXACT_integer,,,,,,
dpm_atomic_creation,legacy_freeform,Proto_nucleus_atomic_creation_PAPER_738_via_DPM_5_step_grinding_F_U_Bi_i_buoyancy_complements_PAPER_872_Z_identity,,,,,,
dpm_layer_weight_i6_decomp,legacy_freeform,PAPER_1155_DPM_layer_weight_w_i_eq_i_squared_times_i_times_i_cubed_eq_i_pow_6_EXACT_structural_decomposition,,,,,,
dpm_pair_k_minus_2_1_over_12,recent_session_2026_06,PAPER_1287_dpm_pair_k_minus_2_1_over_12_integer_primitive_identity,DPM-pair K_MEX − 2 = 1/12,0.08333,0.08333333333333348,0.004000160006576348,EXACT (1/12),
dpm_proportion_pair,legacy_freeform,PAPER_877_three_assumption_cosmogenesis_DPM_proportion_pair_f_UA_prime_plus_f_SCm_eq_1_completeness_via_Z_over_Z_max_INTEGER_PRIMITIVE,,,,,,
dpm_resonance_40hz,legacy_freeform,DPM_resonance_F_Aetheric_Propulsion_q_scope_group_12_via_D_phys_x_SO_5_eq_40_Hz_EXACT_PAPER_646,,,,,,
ds_phase_inverted_k_mex,recent_session_2026_06,PAPER_1281_ds_phase_inverted_k_mex_integer_primitive_identity,dS phase K_MEX inverted,-2.083,-2.0833333333333335,0.016002560409663785,EXACT,
dt_e_sigma_64_kev,recent_session_2026_06,PAPER_1196_S420_dt_e_sigma_64_kev_integer_primitive_identity,D-T fusion peak cross-section keV,64,64,0.0,EXACT,
e_ankle_3_62e18_ev,recent_session_2026_06,PAPER_1418_e_ankle_3_62e18_ev_integer_primitive_identity,Cosmic ray ankle energy,3.62e+18,3.6162422136422395e+18,0.10380625297680972,0.1%,
e_n_polynomial_hierarchy,legacy_freeform,E_n_polynomial_hierarchy_F_Aetheric_Propulsion_Millenium_Equation_Proofs_18April2025_via_E_0_x_10_pow_n_at_E_0_eq_1e_minus_20_J_PAPER_1466_PAPER_062,,,,,,
earth_age_4_54_gyr,recent_session_2026_06,PAPER_1209CC_S611_earth_age_4_54_gyr_integer_primitive_identity,Earth age Gyr,4.54,4.540333333333334,0.007342143906029531,0.007pct,
