category,count,detail
R2_affected,NO_PDF,PAPER_1903_TRIPLE_LAMBDA_CLOSURE_UQFF
R2_affected,NO_PDF,PAPER_1906_F_UBI_I_99_UNIVERSAL_COUPLING_UQFF
R2_affected,HAS_PDF,PAPER_190_SC_Symbolic_Integration_Engine
R2_affected,NO_PDF,PAPER_1914_D_LS_OVER_D_S_QCALCGEOM_UQFF
R2_affected,NO_PDF,PAPER_1930_N_OVER_D_PHYS_MINUS_1_RATIO_FAMILY_UQFF
R2_affected,HAS_PDF,PAPER_193_CoAnQi_Namespaced_Modular_Cpp_Architecture
R2_affected,NO_PDF,PAPER_1943_LENSING_AMPLIFICATION_RSCH_OVER_DPHYS_MINUS_1_R_UQFF
R2_affected,NO_PDF,PAPER_1983_CENA_AGN_DUAL_F_TRZ_LADDER_ANCHOR_SAME_OBJECT_UQFF
R2_affected,HAS_PDF,PAPER_2121_G_NEWTON_TIMES_C_LIGHT_FIRST_CONSTANT_PAIR_CONVERGENCE_R218_LANDMARK_TAXONOMY_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2122_CONSTANT_TRIPLE_CONVERGENCE_BETA_I_RHO_VAC_C_FIRST_3_CONSTANT_INSTANCE_PAPER_2121_PREDICTION_VALIDATION_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2123_AETHER_METRIC_TRIPLE_G_C_RHO_VAC_SECOND_CONSTANT_TRIPLE_INSTANCE_ZERO_ROUND_PREDICTION_VALIDATION_STREAK_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2124_F_U_MASTER_EQUATION_CONSTANT_QUINTUPLE_CONVERGENCE_G_C_MU_0_BETA_I_RHO_VAC_TIER_SKIP_VALIDATION_150_ROUND_MILESTONE_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2125_TWO_KERNEL_MODEL_COSMOLOGICAL_QUADRUPLE_G_C_H0_LAMBDA_COMPLETES_CONVERGENCE_LADDER_SECTOR_KERNEL_TAXONOMY_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2126_B_CRIT_D_PHYS_TIMES_SO_5_PLUS_1_TIMES_SO_5_POW_12_EXACT_SUCCESSOR_IDENTITY_2ND_INSTANCE_COMPOSED_INTEGER_44_CANONIZATION_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2127_FIRST_FULLY_CLASSIFIED_CALCULATOR_TRIADIC_ONE_KERNEL_SIX_LATTICE_NODES_ZERO_UNCLASSIFIED_FULL_CLASSIFICATION_CERTIFICATION_STANDARD_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_2128_ONE_PLUS_F_TRZ_EQUALS_SO_5_PLUS_1_OVER_SO_5_SUCCESSOR_RATIO_IDENTITY_61_SITE_CANONICAL_INVARIANT_SUCCESSOR_3RD_INSTANCE_UQFF_LANDMARK
R2_affected,HAS_PDF,PAPER_218_NGC3603_Stellar_Pressure_Dispersal_UQFF
R2_affected,HAS_PDF,PAPER_219_M16_Eagle_Nebula_Radiation_SFR_UQFF
R2_affected,HAS_PDF,PAPER_220_Crab_Nebula_PWN_UQFF_F_wind_M_mag
R2_affected,HAS_PDF,PAPER_221_Bubble_Nebula_Positive_Expansion_UQFF
R2_affected,HAS_PDF,PAPER_221b_Bubble_Nebula_Positive_Enhancement_UQFF
R2_affected,HAS_PDF,PAPER_222_Horsehead_Nebula_Prad_Blackbody_UQFF
R2_affected,HAS_PDF,PAPER_223_NGC1275_Perseus_AGN_Filament_UQFF
R2_affected,HAS_PDF,PAPER_224_Saturn_Dual_Gravity_Ring_Tension_UQFF
R2_affected,HAS_PDF,PAPER_225_Early_Universe_Relativistic_UV_UQFF
R2_affected,HAS_PDF,PAPER_251_EtaCarina_Homunculus_DPM_Invisibility_LENR_Resonance
R2_affected,HAS_PDF,PAPER_255_PSRJ0030_NeutronStar_Density_Regime_Positive_Buoyancy
R2_affected,HAS_PDF,PAPER_258_MultiMessenger_UQFF_Validator_ALMA_EHT_Chandra_Observational
R2_affected,HAS_PDF,PAPER_278_Sombrero_DustRing_UQFF_GravitationalRingResonator_omega_ring_r_ring
R2_affected,HAS_PDF,PAPER_297_UniverseDiameter_SuperluminalHubbleExpansionRatio_etaExpGreaterThan1
R2_affected,HAS_PDF,PAPER_298_UniverseDiameter_GRCurvatureDominance_epsilonGRGreaterThan1
R2_affected,HAS_PDF,PAPER_322_CR34_HiIRegionTHzGeometricDifferential_ratio_8p59_OrionLagoon
R2_affected,HAS_PDF,PAPER_326_TriadicMasterUQFF_26State_Ramanujan_CoSumArchitecture_FUg1_Rt_FUBi
R2_affected,HAS_PDF,PAPER_336_gCompressed_AllForces_DM_Perturbation_Rt_26State_4Subterm_Resonant_Decomposition
R2_affected,HAS_PDF,PAPER_352_RAquarii_Symbiotic_Binary_FUBi_Kepler_44yr_HST2025_Jets
R2_affected,HAS_PDF,PAPER_356_ASKAP_UltraLongPeriod_Transient_SSq_Burst_Modulation_FUBi
R2_affected,HAS_PDF,PAPER_372_Compressed_UQFF_Bcrit
R2_affected,HAS_PDF,PAPER_373_MorrisThorne_Wormhole_Null_Geodesics
R2_affected,HAS_PDF,PAPER_375_UQFF_Advanced_Integration
R2_affected,HAS_PDF,PAPER_376_UQFF_Formal_Proof_Set
R2_affected,HAS_PDF,PAPER_376b_UQFF_Formal_Proof_Set_Extended
R2_affected,HAS_PDF,PAPER_385_Canonical_7System_UQFF_Parameter_Registry
R2_affected,HAS_PDF,PAPER_387_vSCm_Relativistic_Parameter_Update
R2_affected,HAS_PDF,PAPER_391_Hybrid_MUGE_Meissner_Blending_Model
R2_affected,HAS_PDF,PAPER_394_FU_Complete_ThreeTerm_StarMagic_Master
R2_affected,HAS_PDF,PAPER_396_Higgs_Emergent_Level18_UQFF_Stratum
R2_affected,HAS_PDF,PAPER_397_UQFF_Solvable_15_Equations_Taxonomy
R2_affected,HAS_PDF,PAPER_398_CoAnQi_PImath_Encryption_UQFF_Pi_Cycle
R2_affected,HAS_PDF,PAPER_399_7System_MUGE_Numerical_Validation_Table
R2_affected,HAS_PDF,PAPER_400_Ug2_Heliosphere_Bubble_Charge_Coupled_Ereact
R2_affected,HAS_PDF,PAPER_401_Ug3_Magnetic_Strings_Disk_Pcore
R2_affected,HAS_PDF,PAPER_402_Ug4_Vacuum_BH_Feedback_Cconcentration
R2_affected,HAS_PDF,PAPER_403_Ubi_4Term_Solar_Wind_Buoyancy_EpsilonSw
R2_affected,HAS_PDF,PAPER_404_MusSCm_Augmented_Magnetic_Dipole
R2_affected,HAS_PDF,PAPER_405_SCmDensity_Planetary_Scaling_Law
R2_affected,HAS_PDF,PAPER_406_Ts00_Two_Component_Stress_Energy
R2_affected,HAS_PDF,PAPER_407_FU_4Body_Solar_System_Numerical_Verification
R2_affected,HAS_PDF,PAPER_408_ResonanceMUGE_14Term_Wormhole_Complete_Sum
R2_affected,HAS_PDF,PAPER_409_26_Quantum_Levels_Magnitude_Framework
R2_affected,HAS_PDF,PAPER_410_SCm_Hidden_Element_Undetectable_Qs_Quasar_Ignition
R2_affected,HAS_PDF,PAPER_411_Ug1_DPM_DiPseudoMonopole_Internal_Dipole_Solar_Calibration
R2_affected,HAS_PDF,PAPER_412_Heliosphere_SCm_Hydrogen_Complex_SolarWind_Stellar_Age_Indicator
R2_affected,HAS_PDF,PAPER_413_Ug3_CCW_CW_DifferentialRotation_SCm_PlanetaryCore_Disk
R2_affected,HAS_PDF,PAPER_414_QuasarJet_NavierStokes_UQFF_FluidSolver_SCm_BodyForce_Coupling
R2_affected,HAS_PDF,PAPER_415_Ereact_SCm_Reactivity_Aether_Density_ReactorEfficiency_Factor
R2_affected,HAS_PDF,PAPER_416_Ts00_FiveComponent_StressEnergy_SCm_UA_SolarWind_Full_Decomposition
R2_affected,HAS_PDF,PAPER_417_PiCycles_NegativeTime_TemporalReversal_CosPiTn_UQFF_Framework
R2_affected,HAS_PDF,PAPER_418_FU_Sun_Complete_SCm_SolarCycle_FinalCalibration
R2_affected,HAS_PDF,PAPER_419_Hamiltonian_PlanetaryCore_HUg3_HSCm_HUA_YangMills_MassGap
R2_affected,HAS_PDF,PAPER_420_FU_Complete_Lambda_i_4th_Dissipation_Sum_Code_Gap
R2_affected,HAS_PDF,PAPER_421_Um_Heaviside_QuasiPeriodic_SCm_PhaseTransition_Amplifier
R2_affected,HAS_PDF,PAPER_430_SGR0501_4516_Magnetar_PerSystem_MUGE
R2_affected,HAS_PDF,PAPER_476_DPM_PreBigBang_26Sphere_Birth_Model
R2_affected,HAS_PDF,PAPER_482_HydrogenResonanceUQFFModule_PTOE_Nuclear_Resonance_UnifiedField
R2_affected,HAS_PDF,PAPER_492_MUGE_Resonance_Thirteen_Mode_Frequency_Spectrum
R2_affected,HAS_PDF,PAPER_500_Proto_Hydrogen_26Shell_First_Atom
R2_affected,HAS_PDF,PAPER_510_GW150914_LIGO_BinaryBH_UQFF_Validation
R2_affected,HAS_PDF,PAPER_540_YangMills_DPM_Quantization_Millennium_Hub
R2_affected,HAS_PDF,PAPER_544_YangMills_DPM_Gauge_Field_Mass_Gap_Proof
R2_affected,HAS_PDF,PAPER_552_UQFFComp26D_Tensor_OffDiag13_NS_YM_Hub
R2_affected,HAS_PDF,PAPER_557_BSFG_Symmetry_Group_Isometry_Analysis
R2_affected,HAS_PDF,PAPER_563_Millennium_Prize_UQFF_Coordinator_All_Six_Problems
R2_affected,HAS_PDF,PAPER_573_Universal_Epoch_3DIPO_Nuclear_Convergence_Hub
R2_affected,HAS_PDF,PAPER_574_Mayan_5Cycle_Cosmic_Architecture_Universal_Epoch_UQFF
R2_affected,HAS_PDF,PAPER_575_DPM_Pyramid_Sum_Nuclear_Binding_Periodic_Table
R2_affected,HAS_PDF,PAPER_576_UQFF_Atomic_Mass_Error_Factor_Standard_Model_Validation
R2_affected,HAS_PDF,PAPER_577_Island_Stability_5th_Epoch_Superheavy_Z119_126
R2_affected,HAS_PDF,PAPER_580_UQFF_GW_Amplitude_Lambda_CDM_Emergence
R2_affected,HAS_PDF,PAPER_581_UQFF_LQG_LambdaCDM_Triple_System_QG_Comparison
R2_affected,HAS_PDF,PAPER_582_String_GW_Planar_Frequency_Rebound_Disk_Formation
R2_affected,HAS_PDF,PAPER_584_UQFF_Collatz_Convergence_26D
R2_affected,HAS_PDF,PAPER_585_UQFF_Euler_Equations_Inviscid_Proof
R2_affected,HAS_PDF,PAPER_588_UQFF_Maxwell_Power_Large_26th_Order
R2_affected,HAS_PDF,PAPER_592_UQFF_Speed_of_Light_Triad_Equilibrium
R2_affected,HAS_PDF,PAPER_609_UQFF_Riemann_Hypothesis_Critical_Line
R2_affected,HAS_PDF,PAPER_611_UQFF_Solar_System_Proplyd_Legacy
R2_affected,HAS_PDF,PAPER_637_UQFF_ALICE_Run3_Multiplicity_Vacuum_Density
R2_affected,HAS_PDF,PAPER_641_UQFF_Electroweak_SinThetaW_SCm_Vacuum
R2_affected,HAS_PDF,PAPER_736_UQFF_ThreeSystem_Simultaneous_Framework
R2_affected,HAS_PDF,PAPER_737_Nine_AstroSystems_NGC4826_CassiniGaps_LMC
R2_affected,HAS_PDF,PAPER_739_Tapestry26D_ThreeSystem_Simultaneous_Full
R2_affected,HAS_PDF,PAPER_740_MassWithoutWeight_fUb_BuoyancyCalibration
R2_affected,HAS_PDF,PAPER_750_M51_NGC1316_MUGE_Simulation_Whirlpool_FornaxA
R2_affected,HAS_PDF,PAPER_761_Hubble_Ultra_Deep_Field_UQFF_Galaxy_Evolution
R2_affected,HAS_PDF,PAPER_762_NGC1792_Stellar_Forge_UQFF_Starburst_Evolution
R2_affected,HAS_PDF,PAPER_763_Sombrero_Galaxy_M104_UQFF_SMBH_Dust_Lane
R2_affected,HAS_PDF,PAPER_764_Saturn_Ring_System_26D_UQFF_Planetary_Evolution
R2_affected,HAS_PDF,PAPER_765_M16_Eagle_Nebula_New_Stars_26D_UQFF_Formation
R2_affected,HAS_PDF,PAPER_766_Crab_Nebula_Pulsar_Wind_26D_UQFF_SNR
R2_affected,HAS_PDF,PAPER_767_NGC2264_Cone_Nebula_UQFF_Star_Formation
R2_affected,HAS_PDF,PAPER_768_UGC10214_Tadpole_Galaxy_Tidal_UQFF
R2_affected,HAS_PDF,PAPER_769_NGC4676_Mice_Galaxies_Dual_Merger_UQFF
R2_affected,HAS_PDF,PAPER_770_Red_Spider_Nebula_NGC6537_UQFF_Bipolar
R2_affected,HAS_PDF,PAPER_771_NGC3372_Eta_Carinae_Nebula_UQFF_LBV_Wind
R2_affected,HAS_PDF,PAPER_772_AG_Carinae_Nebula_UQFF_LBV_Eruptive
R2_affected,HAS_PDF,PAPER_773_M42_Orion_Nebula_UQFF_HII_Star_Nursery
R2_affected,HAS_PDF,PAPER_774_Tarantula_Nebula_30Dor_UQFF_Extreme_Starburst
R2_affected,HAS_PDF,PAPER_775_NGC2841_Quiet_Flocculent_Spiral_UQFF
R2_affected,HAS_PDF,PAPER_776_Mystic_Mountain_Carina_UQFF_Dust_Pillar
R2_affected,HAS_PDF,PAPER_777_NGC6217_Barred_Spiral_UQFF
R2_affected,HAS_PDF,PAPER_778_Stephans_Quintet_UQFF_Galaxy_Group
R2_affected,HAS_PDF,PAPER_779_NGC7049_Lenticular_UQFF
R2_affected,HAS_PDF,PAPER_780_Carina_NGC3324_Cosmic_Cliffs_UQFF
R2_affected,HAS_PDF,PAPER_781_M74_Phantom_Galaxy_UQFF
R2_affected,HAS_PDF,PAPER_782_NGC1672_Barred_Spiral_UQFF
R2_affected,HAS_PDF,PAPER_783_NGC5866_Edge_On_Lenticular_UQFF
R2_affected,HAS_PDF,PAPER_784_M82_Cigar_Starburst_Galaxy_UQFF
R2_affected,HAS_PDF,PAPER_785_Spirograph_IC418_Planetary_Nebula_UQFF
R2_affected,HAS_PDF,PAPER_786_NGC4826_Black_Eye_Galaxy_Three_UQFF
R2_affected,HAS_PDF,PAPER_787_NGC1805_LMC_Cluster_Three_UQFF
R2_affected,HAS_PDF,PAPER_788_NGC6307_NGC7027_PN_Pair_Three_UQFF
R2_affected,HAS_PDF,PAPER_789_Cassini_Ring_Gaps_Three_UQFF
R2_affected,HAS_PDF,PAPER_790_ESO391_12_Lenticular_Three_UQFF
R2_affected,HAS_PDF,PAPER_791_M57_Ring_Nebula_Three_UQFF
R2_affected,HAS_PDF,PAPER_792_LMC_Large_Magellanic_Cloud_Three_UQFF
R2_affected,HAS_PDF,PAPER_793_ESO510_G13_Warped_Spiral_Three_UQFF
R2_affected,HAS_PDF,PAPER_794_NGC2525_SN2018gv_Barred_Spiral_UQFF
R2_affected,HAS_PDF,PAPER_795_NGC3603_Extreme_Star_Cluster_UQFF
R2_affected,HAS_PDF,PAPER_796_NGC1275_Perseus_AGN_Filamentary_UQFF
R2_affected,HAS_PDF,PAPER_797_NGC1792_Stellar_Forge_Starburst_UQFF
R2_affected,HAS_PDF,PAPER_798_AFGL5180_Massive_SFR_Three_UQFF
R2_affected,HAS_PDF,PAPER_799_NGC2174_Monkey_Head_Nebula_Three_UQFF
R2_affected,HAS_PDF,PAPER_800_NGC685_Barred_Spiral_Three_UQFF
R2_affected,HAS_PDF,PAPER_801_NGC3507_Spiral_Three_UQFF
R2_affected,HAS_PDF,PAPER_802_NGC3511_Spiral_Crater_Three_UQFF
R2_affected,HAS_PDF,PAPER_803_NGC3596_Gas_Nebula_Spiral_Three_UQFF
R2_affected,HAS_PDF,PAPER_804_NGC1961_Spiral_Three_UQFF
R2_affected,HAS_PDF,PAPER_805_NGC5335_Spiral_Three_UQFF
R2_affected,HAS_PDF,PAPER_806_DPM_Species_Index_ACP_UQFF
R2_affected,HAS_PDF,PAPER_809_NGC3603_Clean_UQFF_Streamlined_Gravity
R2_affected,HAS_PDF,PAPER_810_BubbleNebula_NGC7635_Clean_UQFF_StellarWind
R2_affected,HAS_PDF,PAPER_811_Antennae_Galaxies_NGC4038_4039_Clean_UQFF_Merger
R2_affected,HAS_PDF,PAPER_823_UQFF_Compression_Cycle2_Derivation_Method
R2_affected,HAS_PDF,PAPER_824_Spirals_Supernovae_Tspiral_SNterm_UQFF
R2_affected,HAS_PDF,PAPER_826_Gravity_Since_BigBang_QG_DM_GW_Terms_UQFF
R2_affected,HAS_PDF,PAPER_827_Wstellar_Pterm_Orion_Eagle_HydrogenAtom_UQFF
R2_affected,HAS_PDF,PAPER_832_Ub_Model_Kepler_OrreryV_Exoplanetary_UQFF
R2_affected,HAS_PDF,PAPER_844_Chandra_25th_Anniversary_Crab_Orion_NGC6334
R2_affected,HAS_PDF,PAPER_846_Chandra_DeathStar_16SMBH_GCVent_Timelapse
R2_affected,HAS_PDF,PAPER_851_Kozima_Neutron_Drop_Density_Scaled_8System_PSRJ0030
R2_affected,HAS_PDF,PAPER_871_Universal_Speed_Range_Photon_Deceleration
R2_affected,HAS_PDF,PAPER_924_BH_Phonon_Ergosphere_Superradiance
R2_affected,HAS_PDF,PAPER_926_Multi_AGN_Monte_Carlo_Jet_Power
R2_affected,HAS_PDF,PAPER_928_GW190425_Wavelength_Phonon_Correction
R2_affected,HAS_PDF,PAPER_993_TXS0506_Blazar_Jet_Mod
