primitive,value,count,n_files,example_sites
F_TRZ,1/10                 (Time-Reversal-Zone amplitude),1,1,_session694_alpha_forward_derivation.py#L14
F_TRZ,"1/10, Phi_res=5/6, SSq=57/100, K_Mex=25/12, beta_i=6029/10000",1,1,_session719_hbar_dimensional_class_probe.py#L22
F_TRZ,"F(1,10); Phi_res = F(5,6); SSq = F(57,100); K_Mex = F(25,12)",1,1,_session748_LiH_He3_eta.py#L16
H_SCM,0.99           (Heaviside SCm factor),1,1,_session270_271_calibrated_and_open.py#L9
H_SCM,0.99,1,1,_session277_uqff_gap_patches.py#L51
KAPPA,0.0005,2,2,_session277_uqff_gap_patches.py#L49; _session304_rho_vac_scm_derivation.py#L54
KAPPA,5e-4           (per-day decay),1,1,_session304_rho_vac_scm_derivation.py#L28
K_MEX,"Fraction(25, 12)",48,48,_session343_352_paper1189_chemistry.py#L16; _session694_alpha_forward_derivation.py#L70; _session695_4pi_coset_derivation.py#L51
K_MEX,2.0833333333333335,34,33,_session262_closures.py#L157; _session263_closures.py#L104; _session265_grok_rebuttals.py#L51
K_MEX,"Fraction(25, 12); beta_i = Fraction(6029, 10000)",4,4,_session738_globalR_classXVII_r_alphas_identity.py#L22; _session739_R_xi_classXVIII_OmegaLambda_betas.py#L22; _session740_xi_refine_classXIX_age_gammas.py#L22
K_MEX,"Fraction(25,12); beta_i = Fraction(6029,10000)",3,3,_session742_higher_peaks_t0_exact_classXXII_rs.py#L17; _session743_rs_silk_As.py#L17; _session744_As_refine_kD_Neff.py#L16
K_MEX,25/12          (Mexican-hat coupling),2,2,_session270_271_calibrated_and_open.py#L14; _session304_rho_vac_scm_derivation.py#L17
K_MEX,"25/12 is the Mexican gauge constant, locked since the start of",1,1,_session293_hubble_tension_split.py#L26
K_MEX,"25/12, D_phys=4, D_BSFG=6, D_crit=26, N_ch=9, SO5=10, A_5=60",1,1,_session343_352_paper1189_chemistry.py#L5
K_MEX,"25/12                (Mexican-hat coupling, G1)",1,1,_session694_alpha_forward_derivation.py#L17
N_CH,9,43,42,_session210_closures.py#L64; _session267_extended_closures.py#L61; _session268_gap_closures.py#L43
N_CH,F(9); SO5=F(10); A_5=F(60),37,37,_session749_eta_Yp_T0.py#L20; _session750_eta_T0_H0.py#L17; _session751_T0_Hratio_sigma8_Omegam.py#L23
N_CH,Fraction(9),16,16,_session722_K_G_prefactor_search.py#L35; _session723_K_G_locked_rational.py#L39; _session724_classVI_Lambda_opening.py#L44
N_CH,Fraction(9); SO5 = Fraction(10); A_5 = Fraction(60),3,3,_session738_globalR_classXVII_r_alphas_identity.py#L24; _session739_R_xi_classXVIII_OmegaLambda_betas.py#L24; _session740_xi_refine_classXIX_age_gammas.py#L24
N_CH,9              (channel count),1,1,_session304_rho_vac_scm_derivation.py#L25
N_CH,9.0,1,1,_session304_rho_vac_scm_derivation.py#L51
N_CH,F(9); SO5 = F(10); A_5 = F(60),1,1,_session748_LiH_He3_eta.py#L18
N_CH,D_BSFG^2 / D_phys  =  36 / 4  =  9,1,1,_session780_Higgs_gravity_CV13.py#L13
N_CH,D_BSFG^2 / D_phys          (CV-11),1,1,_session781_cosmoconst_entropy_CV14.py#L11
ORD_SO5,10,13,13,_session268_gap_closures.py#L40; _session696_2loop_kk_closure.py#L55; _session697_c2_exact_decomposition.py#L105
ORD_SO5,Fraction(10),4,4,_session726_LH_tighten_locked_closure.py#L35; _session727_LH42_Lambda_closure.py#L37; _session728_triple_track_consolidation.py#L26
PHI_RES,"Fraction(5, 6)",49,49,_session210_closures.py#L62; _session343_352_paper1189_chemistry.py#L15; _session694_alpha_forward_derivation.py#L68
PHI_RES,0.8333333333333334,37,36,_session211_closures.py#L35; _session262_closures.py#L158; _session263_closures.py#L105
PHI_RES,5/6            (resonance phase),2,2,_session270_271_calibrated_and_open.py#L13; _session304_rho_vac_scm_derivation.py#L20
PHI_RES,5/6                            (EW-tilt half-spinor),1,1,_session295_lithium7_problem.py#L30
PHI_RES,5/6 -> (1 - Phi_res) = 1/6 residual.,1,1,_session313_open_baryogenesis.py#L12
PHI_RES,"5/6                  (Resonance phase closure, G6)",1,1,_session694_alpha_forward_derivation.py#L15
RHO_VAC_SCM,7.09e-37,17,17,_session266_root_closure.py#L76; _session268_gap_closures.py#L26; _session269_full_cascade.py#L27
RHO_VAC_SCM,7.0898e-37,12,12,_session292_chandra_flux_to_param.py#L59; _session293_neutrino_gw_coupling.py#L45; _session294_high_z_quasar_batch.py#L53
RHO_VAC_SCM,"sp.Symbol('rho_SCm', positive=True)",2,1,_session287_rho_vac_scm_derivation_chain.py#L128; _session287_rho_vac_scm_derivation_chain.py#L161
RHO_VAC_SCM,4.0 * math.sqrt(math.pi) * rho0,1,1,_session287_rho_vac_scm_derivation_chain.py#L275
RHO_VAC_UA,7.09e-36,12,12,_session261_closures.py#L101; _session262_closures.py#L119; _session263_closures.py#L84
RHO_VAC_UA,10.0 * RHO_SCm,2,2,_session288_universal_buoyancy_simultaneous_solver.py#L73; _session289_dpm_foundational_kernel.py#L97
RHO_VAC_UA,7.09e-36).  This is a structural bound,1,1,_session261_closures.py#L81
RHO_VAC_UA,so5_order * rho_SCm,1,1,_session287_rho_vac_scm_derivation_chain.py#L276
RHO_VAC_UA,7.0898154036e-36,1,1,_session291_orion_h2o_ice_formation_rate.py#L95
RHO_VAC_UA,7.0898e-36,1,1,_session303_universal_buoyancy_solver.py#L65
RHO_VAC_UA,K_MEX * BETA_I * F_TRZ * PHI_RES * SSQ * (PIVOT_J_m3 * 10.0),1,1,_session304_rho_vac_scm_derivation.py#L127
SSQ,"Fraction(57, 100)",48,48,_session210_closures.py#L63; _session694_alpha_forward_derivation.py#L69; _session695_4pi_coset_derivation.py#L50
SSQ,0.57,42,41,_session202_closures.py#L105; _session205_closures.py#L31; _session211_closures.py#L32
SSQ,0.57           (super-spin coupling),1,1,_session270_271_calibrated_and_open.py#L8
SSQ,0.57                           (sphere-square geometric),1,1,_session295_lithium7_problem.py#L31
SSQ,57/100         (Standard Stress-quotient),1,1,_session304_rho_vac_scm_derivation.py#L21
SSQ,0.57; K_Mex=25/12; D_BSFG=6; SO5=10; A_5=60,1,1,_session409_bio_chlorophyll.py#L2
SSQ,57/100               (Sustainarity-square ledger anchor),1,1,_session694_alpha_forward_derivation.py#L16
V_SCM,100000000.0,28,28,_session261_closures.py#L105; _session262_closures.py#L123; _session263_closures.py#L88
V_SCM,C / 3.0,1,1,_session737_delta_dress_classXVI_alphas_VII_decompose.py#L48
