file,BETA_I,D_BSFG,D_CRIT,D_PHYS,F_TRZ,H_SCM,KAPPA,K_MEX,N_CH,ORD_SO5,PHI_RES,RHO_VAC_SCM,RHO_VAC_UA,SSQ,V_SCM
_session287_proton_radius_higgs.py,,,,4 reduced Compton wavelengths.,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session287_rho_vac_scm_derivation_chain.py,,,,,F_TRZ_v,,,,,,,"CONFLICT[sp.Symbol('rho_SCm', positive=True)x2|4.0 * math.sqrt(math.pi) * rho0x1]",so5_order * rho_SCm,,
_session288_gauge_couplings.py,CONFLICT[1/D_phys + exp(-K_Mex/2) = 0.6029x1|1.0/D_phys + math.exp(-K_Mex/2.0)x1],6,26,4,0.1,,,2.0833333333333335,9,,0.8333333333333334,,,0.57,
_session288_universal_buoyancy_simultaneous_solver.py,"CONFLICT[0.6029x1|float(dataset.get(""beta_i"", BETA_I))x1]",,,,0.1,,,,,,,,10.0 * RHO_SCm,,
_session289_cosmology.py,1.0/D_phys + math.exp(-K_Mex/2.0),CONFLICT[6  D_crit=26  N_ch=9  SO5=10  A5=60  beta_i=0.6029x1|6x1],26,4,CONFLICT[0.1  SSq=0.57  Phi_res=5/6  K_Mex=25/12  D_phys=4x1|0.1x1],,,2.0833333333333335,9,,0.8333333333333334,,,0.57,
_session289_dpm_foundational_kernel.py,,,,,,,,,,,,,10.0 * RHO_SCm,,
_session290_dark_sector_inflation.py,1.0/D_phys + math.exp(-K_Mex/2.0),CONFLICT[6  D_crit=26  N_ch=9  SO5=10  A5=60  beta_i=0.6029x1|6x1],26,4,CONFLICT[0.1  SSq=0.57  Phi_res=5/6  K_Mex=25/12  D_phys=4x1|0.1x1],,,2.0833333333333335,9,,0.8333333333333334,,,0.57,
_session291_muon_g2.py,,6,26,4,0.1,,,2.0833333333333335,9,,,,,0.57,
_session291_orion_h2o_ice_formation_rate.py,0.603,,,,,,,,,,,,7.0898154036e-36,,
_session292_chandra_flux_to_param.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session292_cosmological_constant.py,,6,26,4,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session293_hubble_tension_split.py,,,,4,,,,"CONFLICT[25/12 is the Mexican gauge constant, locked since the start ofx1|2.0833333333333335x1]",,,,,,,
_session293_neutrino_gw_coupling.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session294_high_z_quasar_batch.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session294_neutron_lifetime.py,,6,,4,0.1,,,,,,0.8333333333333334,,,0.57,
_session295_cooling_flow_mass_accretion.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session295_lithium7_problem.py,,CONFLICT[6                              (BSFG hyper-radius)x1|6x1],CONFLICT[26                             (bosonic-string critical)x1|26x1],CONFLICT[4                              (physical spacetime dims)x1|4x1],CONFLICT[0.1                            (time-reversal-zone factor)x1|0.1x1],,,2.0833333333333335,,,CONFLICT[5/6                            (EW-tilt half-spinor)x1|0.8333333333333334x1],,,CONFLICT[0.57                           (sphere-square geometric)x1|0.57x1],
_session296_magnetar_thermal_coupling.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session296_millennium_poincare_perelman.py,,6,26,4,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session297_millennium_riemann.py,,6,26,4,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session297_orion_habitable_zone.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session298_alma_molecular_gas.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session298_millennium_p_vs_np.py,,6,26,4,0.1,,,2.0833333333333335,9,,0.8333333333333334,,,0.57,
_session299_gw190425_mass_gap_errors.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session299_millennium_yang_mills.py,,6,26,4,0.1,,,2.0833333333333335,9,,0.8333333333333334,,,0.57,
_session300_millennium_navier_stokes.py,,6,26,4,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session300_snr_shock_velocity.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session301_millennium_hodge.py,,6,26,4,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session301_pnp_conjecture_anchor.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session302_millennium_bsd.py,,6,26,4,0.1,,,2.0833333333333335,,,0.8333333333333334,,,0.57,
_session302_tde_rate_mass.py,0.603,,,,,,,,,,,7.0898e-37,,,
_session303_universal_buoyancy_solver.py,0.603,,,,,,,,,,,7.0898e-37,7.0898e-36,,
_session304_rho_vac_scm_derivation.py,CONFLICT[0.6029         (buoyancy coupling)x1|0.6029x1],CONFLICT[6              (BSFG manifold dimensions)x1|6.0x1],CONFLICT[26             (critical / string dimension)x1|26.0x1],CONFLICT[4              (physical dimensions)x1|4.0x1],CONFLICT[1/10           (time-reversal zone suppression)x1|0.1x1],,CONFLICT[5e-4           (per-day decay)x1|0.0005x1],CONFLICT[25/12          (Mexican-hat coupling)x1|2.0833333333333335x1],CONFLICT[9              (channel count)x1|9.0x1],,CONFLICT[5/6            (resonance phase)x1|0.8333333333333334x1],,K_MEX * BETA_I * F_TRZ * PHI_RES * SSQ * (PIVOT_J_m3 * 10.0),CONFLICT[57/100         (Standard Stress-quotient)x1|0.57x1],
_session308_paradox_bell_tsirelson.py,,,,4 (not higher).,,,,,,,,,,,
_session313_open_baryogenesis.py,,,,,,,,,,,5/6 -> (1 - Phi_res) = 1/6 residual.,,,,
_session323_qg_born.py,,,,,,,,,,,0.8333333333333334,,,,
_session333_cosmo_li7.py,,,,,,,,,,,0.8333333333333334,,,,
_session338_math_goldbach.py,,,,,,,,,,,0.8333333333333334,,,,
_session340_math_abc.py,,,,,,,,2.0833333333333335,,,,,,,
_session341_math_collatz.py,,,,,0.1,,,,,,,,,,
_session342_math_beal.py,,,,,,,,,,,0.8333333333333334,,,,
_session343_352_paper1189_chemistry.py,0.6029,6,,4,"Fraction(1, 10)",,,"CONFLICT[25/12, D_phys=4, D_BSFG=6, D_crit=26, N_ch=9, SO5=10, A_5=60x1|Fraction(25, 12)x1]",9,,"Fraction(5, 6)",,,,
_session344_chem_mp_me_ratio.py,,6,,,,,,,,,,,,,
_session353_math_catalan.py,,,,,,,,,,,0.8333333333333334,,,,
_session373_sm_delta_cp.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57,,,,,,,,,,
_session374_sm_jarlskog.py,,,,,0.1; D_BSFG=6; K_Mex=25/12; SSq=0.57,,,,,,,,,,
_session375_sm_theta23.py,,,,,0.1; D_phys=4; SSq=0.57,,,,,,,,,,
_session376_sm_top_yukawa.py,,,,,0.1,,,,,,,,,,
_session377_sm_higgs_lambda.py,,,,,0.1; K_Mex=25/12; SSq=0.57; N_ch=9,,,,,,,,,,
_session378_sm_alpha_s.py,,,,,0.1; K_Mex=25/12; SSq=0.57; Phi_res=5/6,,,,,,,,,,
_session379_sm_cabibbo.py,,,,,0.1; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session380_sm_proton_g.py,,,,,0.1; D_BSFG=6; Phi_res=5/6; D_phys=4,,,,,,,,,,
_session381_sm_mt_mw.py,,,,,0.1; K_Mex=25/12; SSq=0.57; Phi_res=5/6,,,,,,,,,,
_session382_sm_mh_mt.py,,,,,0.1; K_Mex=25/12; SSq=0.57; beta_i=0.6029,,,,,,,,,,
_session383_astro_chandrasekhar.py,,,,,0.1; D_phys=4,,,,,,,,,,
_session384_astro_tov_max.py,,,,,0.1; K_Mex=25/12; SSq=0.57; D_phys=4; Phi_res=5/6,,,,,,,,,,
_session385_astro_photon_sphere.py,,,,,0.1; K_Mex=25/12; Phi_res=5/6,,,,,,,,,,
_session386_astro_isco.py,,6,,,,,,,,,,,,,
_session387_astro_bh_entropy.py,,,,,0.1; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session388_astro_wd_exponent.py,,,,,0.1; Phi_res=5/6; D_phys=4,,,,,,,,,,
_session389_astro_grav_binding.py,,,,,0.1; SSq=0.57; D_phys=4,,,,,,,,,,
_session390_astro_salpeter_imf.py,,,,,0.1; K_Mex=25/12; Phi_res=5/6; D_BSFG=6; D_phys=4,,,,,,,,,,
_session391_astro_ns_compactness.py,,,,,0.1; K_Mex=25/12; D_phys=4; SSq=0.57,,,,,,,,,,
_session392_astro_solar_schwarzschild.py,,,,,0.1; D_phys=4; SSq=0.57,,,,,,,,,,
_session393_cm_bcs_gap.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12; D_phys=4; D_BSFG=6,,,,,,,,,,
_session394_cm_wilson.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session395_cm_wiedemann_franz.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session396_cm_von_klitzing.py,,,,,0.1; Phi_res=5/6; SSq=0.57; D_phys=4,,,,,,,,,,
_session397_cm_coherence_length.py,,,,,0.1; Phi_res=5/6; SSq=0.57; D_phys=4,,,,,,,,,,
_session398_cm_bec_tc.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session399_cm_zeta3.py,,,,,0.1; Phi_res=5/6; D_phys=4,,,,,,,,,,
_session400_cm_isotope.py,,,,,0.1; Phi_res=5/6; D_phys=4,,,,,,,,,,
_session401_cm_brinkman_rice.py,,,,,0.1; Phi_res=5/6,,,,,,,,,,
_session402_cm_xy_exponent.py,,,,4; D_BSFG=6,,,,,,,,,,,
_session403_bio_dna_pitch.py,,,,,0.1; Phi_res=5/6; SSq=0.57; SO5=10,,,,,,,,,,
_session404_bio_atp.py,,,,,0.1; Phi_res=5/6; D_phys=4; SO5=10; A_5=60,,,,,,,,,,
_session405_bio_codon_redundancy.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session406_bio_kleiber.py,,,,,0.1; Phi_res=5/6,,,,,,,,,,
_session407_bio_hill.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session408_bio_photosynthesis.py,,,,,0.1; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session409_bio_chlorophyll.py,,,,,,,,,,,,,,0.57; K_Mex=25/12; D_BSFG=6; SO5=10; A_5=60,
_session410_bio_telomere.py,,6,,,,,,,,,,,,,
_session411_bio_redfield.py,,,,,0.1; Phi_res=5/6; D_BSFG=6,,,,,,,,,,
_session412_bio_phyllotaxis.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12,,,,,,,,,,
_session413_plasma_iter_aspect.py,,,,,0.1; D_BSFG=6,,,,,,,,,,
_session414_plasma_troyon.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; D_phys=4; SO5=10,,,,,,,,,,
_session415_plasma_triple_product.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session416_plasma_coulomb_log.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; D_phys=4; SO5=10; SSq=0.57,,,,,,,,,,
_session417_plasma_bohm.py,,,,,"Fraction(1,10); Phi_res=Fraction(5,6); K_Mex=Fraction(25,12)",,,,,,,,,,
_session418_plasma_safety_q.py,,,,,"Fraction(1,10); Phi_res=Fraction(5,6); K_Mex=Fraction(25,12)",,,,,,,,,,
_session421_plasma_lawson.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57,,,,,,,,,,
_session422_plasma_sheath.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session423_geo_j2.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57,,,,,,,,,,
_session424_geo_scale_height.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57; SO5=10,,,,,,,,,,
_session426_geo_lapse.py,,,,,0.1; Phi_res=5/6; SO5=10,,,,,,,,,,
_session427_geo_obliquity.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; D_phys=4; SO5=10,,,,,,,,,,
_session428_geo_greenhouse.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; D_phys=4; N_ch=9,,,,,,,,,,
_session429_geo_salinity.py,,,,,0.1; K_Mex=25/12; D_phys=4; SO5=10,,,,,,,,,,
_session430_geo_earth_moon.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; A_5=60,,,,,,,,,,
_session431_geo_brunt_vaisala.py,,,,,0.1,,,,,,,,,,
_session432_geo_pressure.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session433_part_baryogenesis.py,,,,,0.1; D_BSFG=6,,,,,,,,,,
_session434_part_proton_lifetime.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57,,,,,,,,,,
_session435_part_neutrino_mass.py,,,,,0.1; K_Mex=25/12,,,,,,,,,,
_session436_part_sterile_neutrino.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57,,,,,,,,,,
_session437_part_axion.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; SSq=0.57; D_BSFG=6,,,,,,,,,,
_session438_part_wimp.py,,,,,"Fraction(1,10); Phi_res=Fraction(5,6); K_Mex=Fraction(25,12); D_phys=4; SO5=10",,,,,,,,,,
_session439_part_eta_gg.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; N_ch=9; SO5=10,,,,,,,,,,
_session440_part_top_yukawa.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session441_part_higgs.py,,,,,0.1; K_Mex=25/12,,,,,,,,,,
_session442_part_pmns_t12.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; D_phys=4; SO5=10; SSq=0.57,,,,,,,,,,
_session443_info_ln2.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session444_info_log2e.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12,,,,,,,,,,
_session445_info_pi_over_2.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12,,,,,,,,,,
_session446_info_surface_code.py,,,,,"Fraction(1,10)",,,,,,,,,,
_session447_info_euler_mascheroni.py,,,,,0.1; Phi_res=5/6; SSq=0.57,,,,,,,,,,
_session448_info_catalan.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session449_info_ln10.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session450_info_omega_lambert.py,,,,,0.1; SSq=0.57; Phi_res=5/6,,,,,,,,,,
_session451_info_khinchin.py,,,,,0.1; SSq=0.57; K_Mex=25/12,,,,,,,,,,
_session452_info_sqrt_2pi.py,,,,,0.1; SSq=0.57; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session453_gr_mercury.py,,,,,0.1; K_Mex=25/12; N_ch=9,,,,,,,,,,
_session454_gr_light_bending.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12,,,,,,,,,,
_session455_gr_shapiro.py,,,,Fraction(4),,,,,,,,,,,
_session456_gr_gpb_geodetic.py,,,,,0.1; Phi_res=5/6; SSq=0.57; K_Mex=25/12; D_BSFG=6,,,,,,,,,,
_session457_gr_gpb_frame_drag.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session458_gr_hulse_taylor.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session459_gr_bh_shadow.py,,,,,0.1; Phi_res=5/6; K_Mex=25/12; N_ch=9; SO5=10; D_phys=4,,,,,,,,,,
_session460_gr_photon_sphere.py,,,,,"Fraction(1,10); SO5=Fraction(10); D_phys=Fraction(4)",,,,,,,,,,
_session461_gr_nanograv.py,,,,,0.1; K_Mex=25/12,,,,,,,,,,
_session462_gr_kerr_isco.py,,,,,"Fraction(1,10); SO5=Fraction(10)",,,,,,,,,,
_session463_si_bandgap.py,,,,,1/10; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session464_gaas_bandgap.py,,,,,1/10; Phi_res=5/6; SSq=0.57,,,,,,,,,,
_session465_diamond_bandgap.py,,,,,1/10; Phi_res=5/6; K_Mex=25/12; D_phys=4; SO5=10,,,,,,,,,,
_session466_bcs_ratio.py,,,,,1/10; Phi_res=5/6; K_Mex=25/12; D_phys=4,,,,,,,,,,
_session467_lorenz_number.py,,,,,1/10; Phi_res=5/6; K_Mex=25/12,,,,,,,,,,
_session469_n_water.py,,,,,1/10; Phi_res=5/6; SSq=0.57; K_Mex=25/12,,,,,,,,,,
_session470_stefan_boltzmann.py,,,,,1/10; Phi_res=5/6; K_Mex=25/12; D_phys=4; SO5=10,,,,,,,,,,
_session472_avogadro.py,,,,,1/10; Phi_res=5/6; K_Mex=25/12; D_BSFG=6,,,,,,,,,,
_session623_rydbergE.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session624_stefan.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session625_wien.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session626_faraday.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session627_avogadro.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session628_kB.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session629_planck.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session630_c.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session631_e.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session632_hartree.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session633_pi.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session634_e.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session635_goldenRatio.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session636_gamma.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session637_sqrt2.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session638_sqrt3.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session639_sqrt5.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session640_ln2.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session641_ln10.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session642_zeta3.py,,,,,"F(1,10);Phi=F(5,6);SSq=F(57,100);K=F(25,12);Dp=4;DB=6;SO=10;N=9;A=60",,,,,,,,,,
_session694_alpha_forward_derivation.py,6029/10000           (S293 calibrated),CONFLICT[6x1|Fraction(6)x1],CONFLICT[26x1|Fraction(26)x1],CONFLICT[4x1|Fraction(4)x1],"CONFLICT[1/10                 (Time-Reversal-Zone amplitude)x1|Fraction(1, 10)x1]",,,"CONFLICT[25/12                (Mexican-hat coupling, G1)x1|Fraction(25, 12)x1]",9,,"CONFLICT[5/6                  (Resonance phase closure, G6)x1|Fraction(5, 6)x1]",,,"CONFLICT[57/100               (Sustainarity-square ledger anchor)x1|Fraction(57, 100)x1]",
_session695_4pi_coset_derivation.py,,6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session696_2loop_kk_closure.py,,6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session697_c2_exact_decomposition.py,,6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session698_so2dpm_selection_rule.py,,6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session699_3loop_tail_bound.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session700_alpha_chain_convergence.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session701_c_tree_derivation.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session702_c_tree_layered_dpm.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session703_c_2loop_coefficient.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session704_c_3loop_tail_bound.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,10,"Fraction(5, 6)",,,"Fraction(57, 100)",100000000.0
_session705_universal_loop_factorial_rule.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session706_loop_factorial_n4.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session707_so2_dpm_geometric_phase.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session708_so2_dpm_rank_refined.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session709_mu_chain_opening.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
_session710_mu_2loop.py,"Fraction(6029, 10000)",6,26,4,"Fraction(1, 10)",,,"Fraction(25, 12)",9,,"Fraction(5, 6)",,,"Fraction(57, 100)",
