observable,domain,owner_geometry,target_geometry,owner_formula,owner_value,target,primary_source,primitives_used,route_status,route_formula,route_paper
CM_BCS_gap_ratio,CM,dpm,bsfg,BCS gap 2*Delta/(k_B T_c),3.5403333333333338,3.528,PAPER_1167,,XGEO_ROUTED_IDENTITY,EXTRACTED[_session393_cm_bcs_gap.py]: val = K_Mex + Phi_res + F_TRZ*(D_phys+D_BSFG)  # 2.0833+0.8333+1.0 = 3.9166? recompute || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; real vacuum-kernel primitives global,PAPER_1167;_session393_cm_bcs_gap.py;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_BCS_gap_ratio,CM,dpm,d26,BCS gap 2*Delta/(k_B T_c),3.5403333333333338,3.528,PAPER_1167,,XGEO_ROUTED_IDENTITY,"BCS gap 2*Delta/(k_B T_c) || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522
CM_BCS_isotope_alpha,CM,dpm,qcalcgeom,alpha_iso = Phi_res - F_TRZ*Phi_res*D_PHYS = 1/2 EXACT,0.5,0.5,PAPER_1167,D_PHYS;F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,"alpha_iso = Phi_res - F_TRZ*Phi_res*D_PHYS = 1/2 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_BCS_isotope_alpha,CM,dpm,bsfg,alpha_iso = Phi_res - F_TRZ*Phi_res*D_PHYS = 1/2 EXACT,0.5,0.5,PAPER_1167,D_PHYS;F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,alpha_iso = Phi_res - F_TRZ*Phi_res*D_PHYS = 1/2 EXACT || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1167;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
CM_BCS_isotope_alpha,CM,dpm,d26,alpha_iso = Phi_res - F_TRZ*Phi_res*D_PHYS = 1/2 EXACT,0.5,0.5,PAPER_1167,D_PHYS;F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,alpha_iso = Phi_res - F_TRZ*Phi_res*D_PHYS = 1/2 EXACT || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global,PAPER_1167;PAPER_1927
CM_BEC_Tc_coeff,CM,dpm,qcalcgeom,T_BEC coefficient,3.325,3.3125,PAPER_1167,,XGEO_ROUTED_IDENTITY,"T_BEC coefficient || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_BEC_Tc_coeff,CM,dpm,bsfg,T_BEC coefficient,3.325,3.3125,PAPER_1167,,XGEO_ROUTED_IDENTITY,EXTRACTED[_session398_cm_bec_tc.py]: val = K_Mex + Phi_res + F_TRZ*(D_phys + F_TRZ*Phi_res) || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; real vacuum-kernel primitives global,PAPER_1167;_session398_cm_bec_tc.py;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_BEC_Tc_coeff,CM,dpm,d26,T_BEC coefficient,3.325,3.3125,PAPER_1167,,XGEO_ROUTED_IDENTITY,"T_BEC coefficient || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522
CM_Brinkman_Rice_U_c_W,CM,dpm,qcalcgeom,U_c/W = 2*Phi_res*(1-F_TRZ) = 3/2 EXACT,1.5,1.5,PAPER_1167,F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,"U_c/W = 2*Phi_res*(1-F_TRZ) = 3/2 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_Brinkman_Rice_U_c_W,CM,dpm,bsfg,U_c/W = 2*Phi_res*(1-F_TRZ) = 3/2 EXACT,1.5,1.5,PAPER_1167,F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,U_c/W = 2*Phi_res*(1-F_TRZ) = 3/2 EXACT || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1167;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
CM_Brinkman_Rice_U_c_W,CM,dpm,d26,U_c/W = 2*Phi_res*(1-F_TRZ) = 3/2 EXACT,1.5,1.5,PAPER_1167,F_TRZ;PHI_RES,XGEO_ROUTED_IDENTITY,U_c/W = 2*Phi_res*(1-F_TRZ) = 3/2 EXACT || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global,PAPER_1167;PAPER_1927
CM_Sommerfeld_Wilson_R_W,CM,dpm,qcalcgeom,R_W = K_MEX - F_TRZ*Phi_res = 24/12 = 2 EXACT,2.0,2.0,PAPER_1167,F_TRZ;PHI_RES;K_MEX,XGEO_ROUTED_IDENTITY,"R_W = K_MEX - F_TRZ*Phi_res = 24/12 = 2 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_Sommerfeld_Wilson_R_W,CM,dpm,bsfg,R_W = K_MEX - F_TRZ*Phi_res = 24/12 = 2 EXACT,2.0,2.0,PAPER_1167,F_TRZ;PHI_RES;K_MEX,XGEO_ROUTED_IDENTITY,R_W = K_MEX - F_TRZ*Phi_res = 24/12 = 2 EXACT || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1167;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
CM_Sommerfeld_Wilson_R_W,CM,dpm,d26,R_W = K_MEX - F_TRZ*Phi_res = 24/12 = 2 EXACT,2.0,2.0,PAPER_1167,F_TRZ;PHI_RES;K_MEX,XGEO_ROUTED_IDENTITY,"R_W = K_MEX - F_TRZ*Phi_res = 24/12 = 2 EXACT || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522
CM_Wiedemann_Franz_L_coeff,CM,dpm,qcalcgeom,L_0 = pi^2/3 closure,3.299666666666667,3.289868133696453,PAPER_1167,PI,XGEO_ROUTED_IDENTITY,"L_0 = pi^2/3 closure || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_Wiedemann_Franz_L_coeff,CM,dpm,bsfg,L_0 = pi^2/3 closure,3.299666666666667,3.289868133696453,PAPER_1167,PI,XGEO_ROUTED_IDENTITY,L_0 = pi^2/3 closure || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives global,PAPER_1167;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
CM_Wiedemann_Franz_L_coeff,CM,dpm,d26,L_0 = pi^2/3 closure,3.299666666666667,3.289868133696453,PAPER_1167,PI,XGEO_ROUTED_IDENTITY,L_0 = pi^2/3 closure || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global,PAPER_1167;PAPER_1927
CM_XY_3D_nu_exponent,CM,bsfg,qcalcgeom,nu_XY = D_PHYS/D_BSFG = 2/3 EXACT,0.6666666666666666,0.6666666666666666,PAPER_1167,D_PHYS;D_BSFG,XGEO_ROUTED_IDENTITY,"nu_XY = D_PHYS/D_BSFG = 2/3 EXACT || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_XY_3D_nu_exponent,CM,bsfg,dpm,nu_XY = D_PHYS/D_BSFG = 2/3 EXACT,0.6666666666666666,0.6666666666666666,PAPER_1167,D_PHYS;D_BSFG,XGEO_ROUTED_IDENTITY,"nu_XY = D_PHYS/D_BSFG = 2/3 EXACT || dpm-native re-expression: generators SO_5=rho_UA/rho_SCm + D_crit=26 caduceus pinch count [PAPER_646], D_phys via magic 8=2*D_phys [PAPER_1203]; D_BSFG=D_crit-2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; kappa per PAPER_2112; real vacuum-kernel primitives native to SCm manifold",PAPER_1167;PAPER_646;PAPER_1203;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522;PAPER_2112
CM_XY_3D_nu_exponent,CM,bsfg,d26,nu_XY = D_PHYS/D_BSFG = 2/3 EXACT,0.6666666666666666,0.6666666666666666,PAPER_1167,D_PHYS;D_BSFG,XGEO_ROUTED_IDENTITY,"nu_XY = D_PHYS/D_BSFG = 2/3 EXACT || d26-native re-expression: generator D_crit=26: SO_5=10 via 26->10 superstring reduction [PAPER_1160 chain 4; CondensedPhysics2.py L28609; 26D_DOWNWARD_PROJECTION.md]; D_BSFG=6, D_phys=4 via 26->10->6->4 flow [PAPER_1160 + PAPER_1159 D=6 resonance manifold]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1160;PAPER_1159;PAPER_2116;PAPER_2128;PAPER_1522
CM_log_R_K_von_Klitzing,CM,dpm,qcalcgeom,log10(R_K),4.426333333333333,4.411835234234881,PAPER_1167,,XGEO_ROUTED_IDENTITY,"log10(R_K) || qcalcgeom-native re-expression: F_U-native constant set {rho_SCm, beta_i, SSq, F_TRZ, omega_SCm, Phi_res, S_26} [PAPER_1203/PAPER_2124 canonical F_U machinery = QCalcGeom v3 native surfaces compute_F_U/FUBi/FUBii/universal_inertia]; SO_5=1/F_TRZ [PAPER_1160 EXACT F_TRZ=1/|SO(5)|]; D_BSFG=6 native via bsfg_* wrapper surfaces [QCalcGeom v3 + PAPER_1159]; D_phys=2*D_BSFG/3 [PAPER_1962]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522",PAPER_1167;PAPER_1203;PAPER_2124;PAPER_1160;PAPER_1159;PAPER_1962;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_log_R_K_von_Klitzing,CM,dpm,bsfg,log10(R_K),4.426333333333333,4.411835234234881,PAPER_1167,,XGEO_ROUTED_IDENTITY,EXTRACTED[_session396_cm_von_klitzing.py]: val = D_phys + SSq*Phi_res - SSq*F_TRZ + F_TRZ*F_TRZ*Phi_res || bsfg-native re-expression: generator D_BSFG: D_phys=2*D_BSFG/3 [PAPER_1962]; SO_5=2*(D_BSFG-1) [R320 triple-form]; D_crit=D_BSFG+2*SO_5 [PAPER_1521]; A_5=360/D_BSFG [PAPER_2116]; N_CH=SO_5-1 [PAPER_2128]; K_MEX per PAPER_1522; real vacuum-kernel primitives global,PAPER_1167;_session396_cm_von_klitzing.py;PAPER_1962;R320;PAPER_1521;PAPER_2116;PAPER_2128;PAPER_1522
CM_log_R_K_von_Klitzing,CM,dpm,d26,log10(R_K),4.426333333333333,4.411835234234881,PAPER_1167,,XGEO_ROUTED_IDENTITY,EXTRACTED[_session396_cm_von_klitzing.py]: val = D_phys + SSq*Phi_res - SSq*F_TRZ + F_TRZ*F_TRZ*Phi_res || d26-native re-expression: generator D_crit=26: D_phys=D_crit-22 with 22=T22 compactified moduli [PAPER_1927]; real vacuum-kernel primitives global,PAPER_1167;_session396_cm_von_klitzing.py;PAPER_1927
