file,line,primitive,raw_value,literal_form,scope
_session264_closures.py,80,D_CRIT,26.0,26.0,module
_session264_closures.py,81,D_BSFG,6.0,6.0,module
_session264_closures.py,82,D_PHYS,4.0,4.0,module
_session265_grok_rebuttals.py,32,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session265_grok_rebuttals.py,36,V_SCM,1.0e8,100000000.0,module
_session265_grok_rebuttals.py,44,D_CRIT,26.0,26.0,module
_session265_grok_rebuttals.py,45,D_BSFG,6.0,6.0,module
_session265_grok_rebuttals.py,46,D_PHYS,4.0,4.0,module
_session265_grok_rebuttals.py,49,PHI_RES,5.0 / 6.0,0.8333333333333334,module
_session265_grok_rebuttals.py,50,SSQ,0.57,0.57,module
_session265_grok_rebuttals.py,51,K_MEX,25.0 / 12.0,2.0833333333333335,module
_session265_grok_rebuttals.py,53,F_TRZ,0.1,0.1,module
_session266_root_closure.py,75,RHO_VAC_UA,7.09e-36,7.09e-36,class_or_func
_session266_root_closure.py,76,RHO_VAC_SCM,7.09e-37,7.09e-37,class_or_func
_session266_root_closure.py,79,V_SCM,1.0e8,100000000.0,class_or_func
_session266_root_closure.py,87,F_TRZ,0.1,0.1,class_or_func
_session266_root_closure.py,88,SSQ,0.57,0.57,class_or_func
_session266_root_closure.py,89,D_PHYS,4,4,class_or_func
_session266_root_closure.py,90,D_BSFG,6,6,class_or_func
_session266_root_closure.py,91,D_CRIT,26,26,class_or_func
_session266_root_closure.py,94,PHI_RES,5.0/6.0,0.8333333333333334,class_or_func
_session267_extended_closures.py,44,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session267_extended_closures.py,48,V_SCM,1.0e8,100000000.0,module
_session267_extended_closures.py,53,D_PHYS,4,4,module
_session267_extended_closures.py,54,D_BSFG,6,6,module
_session267_extended_closures.py,55,D_CRIT,26,26,module
_session267_extended_closures.py,58,SSQ,0.57,0.57,module
_session267_extended_closures.py,59,F_TRZ,0.1,0.1,module
_session267_extended_closures.py,60,PHI_RES,5.0/6.0,0.8333333333333334,module
_session267_extended_closures.py,61,N_CH,9,9,module
_session267_extended_closures.py,63,K_MEX,25.0/12.0,2.0833333333333335,module
_session268_gap_closures.py,25,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session268_gap_closures.py,26,RHO_VAC_SCM,7.09e-37,7.09e-37,module
_session268_gap_closures.py,29,V_SCM,1.0e8,100000000.0,module
_session268_gap_closures.py,35,F_TRZ,0.1,0.1,module
_session268_gap_closures.py,36,SSQ,0.57,0.57,module
_session268_gap_closures.py,37,D_PHYS,4,4,module
_session268_gap_closures.py,38,D_BSFG,6,6,module
_session268_gap_closures.py,39,D_CRIT,26,26,module
_session268_gap_closures.py,40,ORD_SO5,10,10,module
_session268_gap_closures.py,42,PHI_RES,5/6,0.8333333333333334,module
_session268_gap_closures.py,43,N_CH,9,9,module
_session268_gap_closures.py,46,K_MEX,25/12,2.0833333333333335,module
_session269_full_cascade.py,26,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session269_full_cascade.py,27,RHO_VAC_SCM,7.09e-37,7.09e-37,module
_session269_full_cascade.py,29,V_SCM,1.0e8,100000000.0,module
_session269_full_cascade.py,35,SSQ,0.57,0.57,module
_session270_271_calibrated_and_open.py,8,SSQ,0.57           (super-spin coupling),0.57           (super-spin coupling),class_or_func
_session270_271_calibrated_and_open.py,9,H_SCM,0.99           (Heaviside SCm factor),0.99           (Heaviside SCm factor),class_or_func
_session270_271_calibrated_and_open.py,12,BETA_I,0.603          (buoyancy fraction),0.603          (buoyancy fraction),class_or_func
_session270_271_calibrated_and_open.py,13,PHI_RES,5/6            (resonance phase),5/6            (resonance phase),class_or_func
_session270_271_calibrated_and_open.py,14,K_MEX,25/12          (Mexican-hat coupling),25/12          (Mexican-hat coupling),class_or_func
_session272_forward_predictions.py,42,RHO_VAC_SCM,7.09e-37,7.09e-37,module
_session272_forward_predictions.py,43,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session273_lambda_hierarchy.py,24,F_TRZ,0.1,0.1,module
_session273_lambda_hierarchy.py,25,SSQ,0.57,0.57,module
_session273_lambda_hierarchy.py,26,D_PHYS,4,4,module
_session273_lambda_hierarchy.py,27,D_BSFG,6,6,module
_session273_lambda_hierarchy.py,28,D_CRIT,26,26,module
_session273_lambda_hierarchy.py,29,N_CH,9,9,module
_session273_lambda_hierarchy.py,32,PHI_RES,5.0/6.0,0.8333333333333334,module
_session273_lambda_hierarchy.py,33,K_MEX,25.0/12.0,2.0833333333333335,module
_session273_lambda_hierarchy.py,36,RHO_VAC_SCM,7.09e-37,7.09e-37,module
_session273_lambda_hierarchy.py,37,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session273_lambda_hierarchy.py,221,F_TRZ,0.1.,0.1.,class_or_func
_session274_beta_lambda_closure.py,11,BETA_I,0.603  (marked OPEN in S270 as 'non-structural multiplier'),0.603  (marked OPEN in S270 as 'non-structural multiplier'),nested_3
_session274_beta_lambda_closure.py,12,F_TRZ,0.1,0.1,nested_3
_session274_beta_lambda_closure.py,27,F_TRZ,0.1,0.1,module
_session274_beta_lambda_closure.py,28,SSQ,0.57,0.57,module
_session274_beta_lambda_closure.py,140,BETA_I,-log10(rho_Lambda_obs / rho_Planck) - 123 ) / F_TRZ,-log10(rho_Lambda_obs / rho_Planck) - 123 ) / F_TRZ,class_or_func
_session275_mp_planck_closure.py,22,F_TRZ,0.1,0.1,module
_session275_mp_planck_closure.py,23,SSQ,0.57,0.57,module
_session275_mp_planck_closure.py,27,BETA_I,0.603,0.603,module
_session276_chandrasekhar_closure.py,29,F_TRZ,0.1,0.1,module
_session276_chandrasekhar_closure.py,30,SSQ,0.57,0.57,module
_session277_uqff_gap_patches.py,42,RHO_VAC_SCM,7.09e-37,7.09e-37,module
_session277_uqff_gap_patches.py,43,RHO_VAC_UA,7.09e-36,7.09e-36,module
_session277_uqff_gap_patches.py,49,KAPPA,0.0005,0.0005,module
_session277_uqff_gap_patches.py,50,SSQ,0.57,0.57,module
_session277_uqff_gap_patches.py,51,H_SCM,0.99,0.99,module
_session277_uqff_gap_patches.py,52,BETA_I,0.603,0.603,module
_session278_dpm_layer_counter.py,47,BETA_I,0.603,0.603,module
_session278_dpm_layer_counter.py,48,SSQ,0.57,0.57,module
_session278_me_closure.py,29,F_TRZ,0.1,0.1,module
_session278_me_closure.py,30,SSQ,0.57,0.57,module
_session278_me_closure.py,31,BETA_I,1/4 + math.exp(-25/24),1/4 + math.exp(-25/24),module
_session278_me_closure.py,32,PHI_RES,5/6,0.8333333333333334,module
_session278_me_closure.py,33,K_MEX,25/12,2.0833333333333335,module
_session279_mu_tau_closure.py,28,BETA_I,1/4 + math.exp(-25/24),1/4 + math.exp(-25/24),module
_session280_quark_closure.py,23,F_TRZ,0.1,0.1,module
_session280_quark_closure.py,24,SSQ,0.57,0.57,module
_session280_quark_closure.py,25,PHI_RES,5/6,0.8333333333333334,module
_session280_quark_closure.py,26,K_MEX,25/12,2.0833333333333335,module
_session280_quark_closure.py,27,D_PHYS,4,4,module
_session280_quark_closure.py,28,D_BSFG,6,6,module
_session280_quark_closure.py,29,D_CRIT,26,26,module
_session280_quark_closure.py,30,N_CH,9,9,module
_session280_quark_closure.py,34,BETA_I,1/D_phys + math.exp(-K_Mex/2),1/D_phys + math.exp(-K_Mex/2),module
_session280_verify.py,4,F_TRZ,0.1,0.1,module
_session280_verify.py,5,SSQ,0.57,0.57,module
_session280_verify.py,6,PHI_RES,5/6,0.8333333333333334,module
_session280_verify.py,7,K_MEX,25/12,2.0833333333333335,module
_session281_neutrino_hunt.py,15,F_TRZ,0.1,0.1,module
_session281_neutrino_hunt.py,16,SSQ,0.57,0.57,module
_session281_neutrino_hunt.py,17,PHI_RES,5/6,0.8333333333333334,module
_session281_neutrino_hunt.py,18,K_MEX,25/12,2.0833333333333335,module
_session281_neutrino_hunt.py,21,BETA_I,1/D_phys + math.exp(-K_Mex/2),1/D_phys + math.exp(-K_Mex/2),module
_session281_verify.py,4,F_TRZ,0.1,0.1,module
_session281_verify.py,5,K_MEX,25/12,2.0833333333333335,module
_session282_newton_G_closure.py,16,F_TRZ,0.1,0.1,module
_session282_newton_G_closure.py,17,SSQ,0.57,0.57,module
_session283_finetune.py,15,F_TRZ,0.1,0.1,module
_session283_finetune.py,16,SSQ,0.57,0.57,module
_session283_finetune.py,17,PHI_RES,5/6,0.8333333333333334,module
_session283_finetune.py,18,K_MEX,25/12,2.0833333333333335,module
_session283_finetune.py,21,BETA_I,1/D_phys + math.exp(-K_Mex/2),1/D_phys + math.exp(-K_Mex/2),module
_session283_verify.py,4,F_TRZ,0.1,0.1,module
_session283_verify.py,5,SSQ,0.57,0.57,module
_session283_verify.py,6,PHI_RES,5/6,0.8333333333333334,module
_session283_verify.py,7,K_MEX,25/12,2.0833333333333335,module
_session283_verify.py,10,BETA_I,1/D_phys + math.exp(-K_Mex/2),1/D_phys + math.exp(-K_Mex/2),module
_session284_seesaw_MR.py,19,F_TRZ,0.1,0.1,module
_session284_seesaw_MR.py,20,SSQ,0.57,0.57,module
_session284_seesaw_MR.py,21,K_MEX,25/12,2.0833333333333335,module
_session284_seesaw_MR.py,24,BETA_I,1/D_phys + math.exp(-K_Mex/2),1/D_phys + math.exp(-K_Mex/2),module
_session285_CKM_closure.py,21,F_TRZ,0.1,0.1,module
_session285_CKM_closure.py,22,SSQ,0.57,0.57,module
_session285_CKM_closure.py,23,K_MEX,25/12,2.0833333333333335,module
_session285_CKM_closure.py,24,PHI_RES,5/6,0.8333333333333334,module
_session286_PMNS_closure.py,25,F_TRZ,0.1,0.1,module
_session286_PMNS_closure.py,26,SSQ,0.57,0.57,module
_session286_PMNS_closure.py,27,K_MEX,25/12,2.0833333333333335,module
_session286_PMNS_closure.py,28,PHI_RES,5/6,0.8333333333333334,module
_session286_PMNS_closure.py,31,BETA_I,1/D_phys + math.exp(-K_Mex/2),1/D_phys + math.exp(-K_Mex/2),module
_session287_proton_radius_higgs.py,8,D_PHYS,4 reduced Compton wavelengths.,4 reduced Compton wavelengths.,class_or_func
_session287_proton_radius_higgs.py,23,F_TRZ,0.1,0.1,module
_session287_proton_radius_higgs.py,24,SSQ,0.57,0.57,module
_session287_proton_radius_higgs.py,25,K_MEX,25/12,2.0833333333333335,module
_session287_proton_radius_higgs.py,26,PHI_RES,5/6,0.8333333333333334,module
_session287_rho_vac_scm_derivation_chain.py,128,RHO_VAC_SCM,"sp.Symbol('rho_SCm', positive=True)","sp.Symbol('rho_SCm', positive=True)",class_or_func
_session287_rho_vac_scm_derivation_chain.py,161,RHO_VAC_SCM,"sp.Symbol('rho_SCm', positive=True)","sp.Symbol('rho_SCm', positive=True)",class_or_func
_session287_rho_vac_scm_derivation_chain.py,275,RHO_VAC_SCM,4.0 * math.sqrt(math.pi) * rho0,4.0 * math.sqrt(math.pi) * rho0,nested_8
_session287_rho_vac_scm_derivation_chain.py,276,RHO_VAC_UA,so5_order * rho_SCm,so5_order * rho_SCm,nested_8
_session287_rho_vac_scm_derivation_chain.py,286,F_TRZ,"F_TRZ_v,",F_TRZ_v,nested_12
_session288_gauge_couplings.py,7,F_TRZ,0.1,0.1,nested_2
_session288_gauge_couplings.py,8,SSQ,0.57,0.57,nested_2
_session288_gauge_couplings.py,9,PHI_RES,5/6,0.8333333333333334,nested_2
_session288_gauge_couplings.py,10,K_MEX,25/12,2.0833333333333335,nested_2
_session288_gauge_couplings.py,11,D_PHYS,4,4,nested_2
_session288_gauge_couplings.py,12,D_BSFG,6,6,nested_2
_session288_gauge_couplings.py,13,D_CRIT,26,26,nested_2
_session288_gauge_couplings.py,14,N_CH,9,9,nested_2
_session288_gauge_couplings.py,17,BETA_I,1/D_phys + exp(-K_Mex/2) = 0.6029,1/D_phys + exp(-K_Mex/2) = 0.6029,nested_2
_session288_gauge_couplings.py,31,F_TRZ,0.1,0.1,module
_session288_gauge_couplings.py,32,SSQ,0.57,0.57,module
_session288_gauge_couplings.py,33,PHI_RES,5.0/6.0,0.8333333333333334,module
_session288_gauge_couplings.py,34,K_MEX,25.0/12.0,2.0833333333333335,module
_session288_gauge_couplings.py,35,D_PHYS,4,4,module
_session288_gauge_couplings.py,36,D_BSFG,6,6,module
_session288_gauge_couplings.py,37,D_CRIT,26,26,module
_session288_gauge_couplings.py,38,N_CH,9,9,module
_session288_gauge_couplings.py,41,BETA_I,1.0/D_phys + math.exp(-K_Mex/2.0),1.0/D_phys + math.exp(-K_Mex/2.0),module
_session288_universal_buoyancy_simultaneous_solver.py,73,RHO_VAC_UA,10.0 * RHO_SCm,10.0 * RHO_SCm,module
_session288_universal_buoyancy_simultaneous_solver.py,74,F_TRZ,0.10,0.1,module
_session288_universal_buoyancy_simultaneous_solver.py,75,BETA_I,0.6029,0.6029,module
_session288_universal_buoyancy_simultaneous_solver.py,281,BETA_I,"float(dataset.get(""beta_i"", BETA_I)),","float(dataset.get(""beta_i"", BETA_I))",nested_12
_session289_cosmology.py,10,F_TRZ,0.1  SSq=0.57  Phi_res=5/6  K_Mex=25/12  D_phys=4,0.1  SSq=0.57  Phi_res=5/6  K_Mex=25/12  D_phys=4,nested_2
_session289_cosmology.py,11,D_BSFG,6  D_crit=26  N_ch=9  SO5=10  A5=60  beta_i=0.6029,6  D_crit=26  N_ch=9  SO5=10  A5=60  beta_i=0.6029,nested_2
_session289_cosmology.py,16,F_TRZ,0.1,0.1,module
_session289_cosmology.py,17,SSQ,0.57,0.57,module
_session289_cosmology.py,18,PHI_RES,5.0/6.0,0.8333333333333334,module
_session289_cosmology.py,19,K_MEX,25.0/12.0,2.0833333333333335,module
_session289_cosmology.py,20,D_PHYS,4,4,module
_session289_cosmology.py,21,D_BSFG,6,6,module
_session289_cosmology.py,22,D_CRIT,26,26,module
_session289_cosmology.py,23,N_CH,9,9,module
_session289_cosmology.py,26,BETA_I,1.0/D_phys + math.exp(-K_Mex/2.0),1.0/D_phys + math.exp(-K_Mex/2.0),module
_session289_dpm_foundational_kernel.py,97,RHO_VAC_UA,10.0 * RHO_SCm,10.0 * RHO_SCm,module
_session290_dark_sector_inflation.py,11,F_TRZ,0.1  SSq=0.57  Phi_res=5/6  K_Mex=25/12  D_phys=4,0.1  SSq=0.57  Phi_res=5/6  K_Mex=25/12  D_phys=4,nested_2
_session290_dark_sector_inflation.py,12,D_BSFG,6  D_crit=26  N_ch=9  SO5=10  A5=60  beta_i=0.6029,6  D_crit=26  N_ch=9  SO5=10  A5=60  beta_i=0.6029,nested_2
_session290_dark_sector_inflation.py,17,F_TRZ,0.1,0.1,module
_session290_dark_sector_inflation.py,18,SSQ,0.57,0.57,module
_session290_dark_sector_inflation.py,19,PHI_RES,5.0/6.0,0.8333333333333334,module
_session290_dark_sector_inflation.py,20,K_MEX,25.0/12.0,2.0833333333333335,module
_session290_dark_sector_inflation.py,21,D_PHYS,4,4,module
_session290_dark_sector_inflation.py,22,D_BSFG,6,6,module
_session290_dark_sector_inflation.py,23,D_CRIT,26,26,module
_session290_dark_sector_inflation.py,24,N_CH,9,9,module
_session290_dark_sector_inflation.py,27,BETA_I,1.0/D_phys + math.exp(-K_Mex/2.0),1.0/D_phys + math.exp(-K_Mex/2.0),module
_session291_muon_g2.py,36,F_TRZ,0.1,0.1,module
_session291_muon_g2.py,37,SSQ,0.57,0.57,module
_session291_muon_g2.py,38,D_BSFG,6,6,module
_session291_muon_g2.py,39,D_PHYS,4,4,module
_session291_muon_g2.py,40,N_CH,9,9,module
_session291_muon_g2.py,41,D_CRIT,26,26,module
_session291_muon_g2.py,42,K_MEX,25/12,2.0833333333333335,module
_session291_orion_h2o_ice_formation_rate.py,94,BETA_I,0.603,0.603,module
_session291_orion_h2o_ice_formation_rate.py,95,RHO_VAC_UA,7.0898154036e-36,7.0898154036e-36,module
_session292_chandra_flux_to_param.py,58,BETA_I,0.603,0.603,module
_session292_chandra_flux_to_param.py,59,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session292_cosmological_constant.py,51,F_TRZ,0.1,0.1,module
_session292_cosmological_constant.py,52,SSQ,0.57,0.57,module
_session292_cosmological_constant.py,53,D_PHYS,4,4,module
_session292_cosmological_constant.py,54,D_BSFG,6,6,module
_session292_cosmological_constant.py,55,D_CRIT,26,26,module
_session292_cosmological_constant.py,56,PHI_RES,5/6,0.8333333333333334,module
_session292_cosmological_constant.py,57,K_MEX,25/12,2.0833333333333335,module
_session293_hubble_tension_split.py,26,K_MEX,"25/12 is the Mexican gauge constant, locked since the start of","25/12 is the Mexican gauge constant, locked since the start of",module
_session293_hubble_tension_split.py,50,K_MEX,25/12,2.0833333333333335,module
_session293_hubble_tension_split.py,51,D_PHYS,4,4,module
_session293_neutrino_gw_coupling.py,44,BETA_I,0.603,0.603,module
_session293_neutrino_gw_coupling.py,45,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session294_high_z_quasar_batch.py,52,BETA_I,0.603,0.603,module
_session294_high_z_quasar_batch.py,53,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session294_neutron_lifetime.py,55,F_TRZ,0.1,0.1,module
_session294_neutron_lifetime.py,56,SSQ,0.57,0.57,module
_session294_neutron_lifetime.py,57,PHI_RES,5/6,0.8333333333333334,module
_session294_neutron_lifetime.py,58,D_PHYS,4,4,module
_session294_neutron_lifetime.py,59,D_BSFG,6,6,module
_session295_cooling_flow_mass_accretion.py,46,BETA_I,0.603,0.603,module
_session295_cooling_flow_mass_accretion.py,47,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session295_lithium7_problem.py,29,F_TRZ,0.1                            (time-reversal-zone factor),0.1                            (time-reversal-zone factor),nested_3
_session295_lithium7_problem.py,30,PHI_RES,5/6                            (EW-tilt half-spinor),5/6                            (EW-tilt half-spinor),nested_3
_session295_lithium7_problem.py,31,SSQ,0.57                           (sphere-square geometric),0.57                           (sphere-square geometric),nested_3
_session295_lithium7_problem.py,32,D_PHYS,4                              (physical spacetime dims),4                              (physical spacetime dims),nested_3
_session295_lithium7_problem.py,33,D_BSFG,6                              (BSFG hyper-radius),6                              (BSFG hyper-radius),nested_3
_session295_lithium7_problem.py,34,D_CRIT,26                             (bosonic-string critical),26                             (bosonic-string critical),nested_3
_session295_lithium7_problem.py,62,F_TRZ,0.1,0.1,module
_session295_lithium7_problem.py,63,PHI_RES,5.0 / 6.0,0.8333333333333334,module
_session295_lithium7_problem.py,64,SSQ,0.57,0.57,module
_session295_lithium7_problem.py,65,D_PHYS,4,4,module
_session295_lithium7_problem.py,66,D_BSFG,6,6,module
_session295_lithium7_problem.py,67,D_CRIT,26,26,module
_session295_lithium7_problem.py,68,K_MEX,25.0 / 12.0,2.0833333333333335,module
_session296_magnetar_thermal_coupling.py,45,BETA_I,0.603,0.603,module
_session296_magnetar_thermal_coupling.py,46,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session296_millennium_poincare_perelman.py,23,F_TRZ,0.1,0.1,module
_session296_millennium_poincare_perelman.py,24,PHI_RES,5.0/6.0,0.8333333333333334,module
_session296_millennium_poincare_perelman.py,25,SSQ,0.57,0.57,module
_session296_millennium_poincare_perelman.py,26,D_PHYS,4,4,module
_session296_millennium_poincare_perelman.py,27,D_BSFG,6,6,module
_session296_millennium_poincare_perelman.py,28,D_CRIT,26,26,module
_session296_millennium_poincare_perelman.py,29,K_MEX,25.0/12.0,2.0833333333333335,module
_session297_millennium_riemann.py,14,F_TRZ,0.1,0.1,module
_session297_millennium_riemann.py,15,PHI_RES,5.0/6.0,0.8333333333333334,module
_session297_millennium_riemann.py,16,SSQ,0.57,0.57,module
_session297_millennium_riemann.py,17,D_PHYS,4,4,module
_session297_millennium_riemann.py,18,D_BSFG,6,6,module
_session297_millennium_riemann.py,19,D_CRIT,26,26,module
_session297_millennium_riemann.py,20,K_MEX,25.0/12.0,2.0833333333333335,module
_session297_orion_habitable_zone.py,46,BETA_I,0.603,0.603,module
_session297_orion_habitable_zone.py,47,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session298_alma_molecular_gas.py,44,BETA_I,0.603,0.603,module
_session298_alma_molecular_gas.py,45,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session298_millennium_p_vs_np.py,11,F_TRZ,0.1,0.1,module
_session298_millennium_p_vs_np.py,12,PHI_RES,5.0/6.0,0.8333333333333334,module
_session298_millennium_p_vs_np.py,13,SSQ,0.57,0.57,module
_session298_millennium_p_vs_np.py,14,D_PHYS,4,4,module
_session298_millennium_p_vs_np.py,15,D_BSFG,6,6,module
_session298_millennium_p_vs_np.py,16,D_CRIT,26,26,module
_session298_millennium_p_vs_np.py,17,K_MEX,25.0/12.0,2.0833333333333335,module
_session298_millennium_p_vs_np.py,18,N_CH,9,9,module
_session299_gw190425_mass_gap_errors.py,41,BETA_I,0.603,0.603,module
_session299_gw190425_mass_gap_errors.py,42,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session299_millennium_yang_mills.py,15,F_TRZ,0.1,0.1,module
_session299_millennium_yang_mills.py,16,PHI_RES,5.0/6.0,0.8333333333333334,module
_session299_millennium_yang_mills.py,17,SSQ,0.57,0.57,module
_session299_millennium_yang_mills.py,18,D_PHYS,4,4,module
_session299_millennium_yang_mills.py,19,D_BSFG,6,6,module
_session299_millennium_yang_mills.py,20,D_CRIT,26,26,module
_session299_millennium_yang_mills.py,21,K_MEX,25.0/12.0,2.0833333333333335,module
_session299_millennium_yang_mills.py,22,N_CH,9,9,module
_session300_millennium_navier_stokes.py,16,F_TRZ,0.1,0.1,module
_session300_millennium_navier_stokes.py,17,PHI_RES,5.0/6.0,0.8333333333333334,module
_session300_millennium_navier_stokes.py,18,SSQ,0.57,0.57,module
_session300_millennium_navier_stokes.py,19,D_PHYS,4,4,module
_session300_millennium_navier_stokes.py,20,D_BSFG,6,6,module
_session300_millennium_navier_stokes.py,21,D_CRIT,26,26,module
_session300_millennium_navier_stokes.py,22,K_MEX,25.0/12.0,2.0833333333333335,module
_session300_snr_shock_velocity.py,46,BETA_I,0.603,0.603,module
_session300_snr_shock_velocity.py,47,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session301_millennium_hodge.py,16,F_TRZ,0.1,0.1,module
_session301_millennium_hodge.py,17,PHI_RES,5.0/6.0,0.8333333333333334,module
_session301_millennium_hodge.py,18,SSQ,0.57,0.57,module
_session301_millennium_hodge.py,19,D_PHYS,4,4,module
_session301_millennium_hodge.py,20,D_BSFG,6,6,module
_session301_millennium_hodge.py,21,D_CRIT,26,26,module
_session301_millennium_hodge.py,22,K_MEX,25.0/12.0,2.0833333333333335,module
_session301_pnp_conjecture_anchor.py,38,BETA_I,0.603,0.603,module
_session301_pnp_conjecture_anchor.py,39,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session302_millennium_bsd.py,15,F_TRZ,0.1,0.1,module
_session302_millennium_bsd.py,16,PHI_RES,5.0/6.0,0.8333333333333334,module
_session302_millennium_bsd.py,17,SSQ,0.57,0.57,module
_session302_millennium_bsd.py,18,D_PHYS,4,4,module
_session302_millennium_bsd.py,19,D_BSFG,6,6,module
_session302_millennium_bsd.py,20,D_CRIT,26,26,module
_session302_millennium_bsd.py,21,K_MEX,25.0/12.0,2.0833333333333335,module
_session302_tde_rate_mass.py,43,BETA_I,0.603,0.603,module
_session302_tde_rate_mass.py,44,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session303_universal_buoyancy_solver.py,63,BETA_I,0.603,0.603,module
_session303_universal_buoyancy_solver.py,64,RHO_VAC_SCM,7.0898e-37,7.0898e-37,module
_session303_universal_buoyancy_solver.py,65,RHO_VAC_UA,7.0898e-36,7.0898e-36,module
_session304_rho_vac_scm_derivation.py,17,K_MEX,25/12          (Mexican-hat coupling),25/12          (Mexican-hat coupling),nested_3
_session304_rho_vac_scm_derivation.py,18,BETA_I,0.6029         (buoyancy coupling),0.6029         (buoyancy coupling),nested_3
_session304_rho_vac_scm_derivation.py,19,F_TRZ,1/10           (time-reversal zone suppression),1/10           (time-reversal zone suppression),nested_3
_session304_rho_vac_scm_derivation.py,20,PHI_RES,5/6            (resonance phase),5/6            (resonance phase),nested_3
_session304_rho_vac_scm_derivation.py,21,SSQ,57/100         (Standard Stress-quotient),57/100         (Standard Stress-quotient),nested_3
_session304_rho_vac_scm_derivation.py,22,D_PHYS,4              (physical dimensions),4              (physical dimensions),nested_3
_session304_rho_vac_scm_derivation.py,23,D_BSFG,6              (BSFG manifold dimensions),6              (BSFG manifold dimensions),nested_3
_session304_rho_vac_scm_derivation.py,24,D_CRIT,26             (critical / string dimension),26             (critical / string dimension),nested_3
_session304_rho_vac_scm_derivation.py,25,N_CH,9              (channel count),9              (channel count),nested_3
_session304_rho_vac_scm_derivation.py,28,KAPPA,5e-4           (per-day decay),5e-4           (per-day decay),nested_3
_session304_rho_vac_scm_derivation.py,43,K_MEX,25.0 / 12.0,2.0833333333333335,module
_session304_rho_vac_scm_derivation.py,44,BETA_I,0.6029,0.6029,module
_session304_rho_vac_scm_derivation.py,45,F_TRZ,1.0 / 10.0,0.1,module
_session304_rho_vac_scm_derivation.py,46,PHI_RES,5.0 / 6.0,0.8333333333333334,module
_session304_rho_vac_scm_derivation.py,47,SSQ,57.0 / 100.0,0.57,module
