script,classification,predicted_print_count,evidence
_session291_orion_h2o_ice_formation_rate.py,COMPARISON_ONLY,0,"L422: codata-assign-only: ok(""T-14 Orion X_pred within factor 100 of X_obs=1e-4 (rate-eqn order)"","
_session292_chandra_flux_to_param.py,COMPARISON_ONLY,0,"L35: codata-assign-only: A1 Sgr A* quiescent : F_obs=3e-14 erg/s/cm^2 [2-10], D=8.2 kpc"
_session292_cosmological_constant.py,COMPARISON_ONLY,0,L60: codata-assign-only: hbar = 1.054571817e-34          # J s
_session293_hubble_tension_split.py,PRIMITIVE_ONLY,1,
_session293_neutrino_gw_coupling.py,UNCLASSIFIED,0,
_session294_high_z_quasar_batch.py,UNCLASSIFIED,0,
_session294_neutron_lifetime.py,COMPARISON_ONLY,0,L85: codata-assign-only: tau_bottle_obs   = 877.75
_session295_cooling_flow_mass_accretion.py,UNCLASSIFIED,0,
_session295_lithium7_problem.py,COMPARISON_ONLY,4,"L14: codata-assign-only: (Li7/H)_obs  =  1.58 +/- 0.31 x 10^-10   (Sbordone+2010, ~150 stars)"
_session296_302_millennium_harvester.py,PRIMITIVE_ONLY,3,
_session296_magnetar_thermal_coupling.py,UNCLASSIFIED,0,
_session296_millennium_poincare_perelman.py,PRIMITIVE_ONLY,1,
_session297_millennium_riemann.py,COMPARISON_ONLY,1,L84: codata-assign-only: N_obs = 10  # 10 zeros below T=50
_session297_orion_habitable_zone.py,UNCLASSIFIED,0,
_session298_alma_molecular_gas.py,UNCLASSIFIED,0,
_session298_millennium_p_vs_np.py,SEARCH_FIT,0,"L108: search-call: print("" Quantum search (Grover) gives sqrt speed-up but does NOT"")"
_session299_gw190425_mass_gap_errors.py,UNCLASSIFIED,0,
_session299_millennium_yang_mills.py,PRIMITIVE_ONLY,2,
_session300_millennium_navier_stokes.py,UNCLASSIFIED,0,
_session300_snr_shock_velocity.py,UNCLASSIFIED,0,
_session301_millennium_hodge.py,UNCLASSIFIED,0,
_session301_pnp_conjecture_anchor.py,SEARCH_FIT,0,"L167: search-call: ok(""T-1 search(0)=1"", informational_search_cost(0) == 1.0)"
_session302_millennium_bsd.py,UNCLASSIFIED,0,
_session302_tde_rate_mass.py,UNCLASSIFIED,0,
_session303_paradox_amps_firewall.py,UNCLASSIFIED,0,
_session303_universal_buoyancy_solver.py,PRIMITIVE_ONLY,3,
_session304_paradox_boltzmann_brain.py,UNCLASSIFIED,0,
_session304_rho_vac_scm_derivation.py,UNCLASSIFIED,0,
_session305_paradox_frauchiger_renner.py,PRIMITIVE_ONLY,1,
_session306_paradox_loschmidt.py,UNCLASSIFIED,0,
_session307_paradox_maxwell_demon.py,UNCLASSIFIED,0,
_session308_paradox_bell_tsirelson.py,UNCLASSIFIED,0,
_session309_paradox_banach_tarski.py,UNCLASSIFIED,0,
_session310_open_cosmological_constant.py,COMPARISON_ONLY,0,L24: codata-assign-only: rho_obs    = 6.0e-10     # J/m^3
_session311_open_hierarchy_problem.py,UNCLASSIFIED,0,
_session312_open_strong_cp.py,PRIMITIVE_ONLY,3,
_session313_open_baryogenesis.py,COMPARISON_ONLY,0,L28: codata-assign-only: eta_obs = 6.12e-10
_session314_open_dark_matter.py,UNCLASSIFIED,0,
_session315_open_dark_energy.py,UNCLASSIFIED,0,
_session316_open_neutrino_mass.py,UNCLASSIFIED,0,
_session317_qg_bh_singularity.py,UNCLASSIFIED,0,
_session318_qg_firewall.py,UNCLASSIFIED,0,
_session319_qg_bigbang.py,UNCLASSIFIED,0,
_session320_qg_holography.py,UNCLASSIFIED,0,
_session321_qg_ctc.py,UNCLASSIFIED,0,
_session322_qg_eperer.py,UNCLASSIFIED,0,
_session323_qg_born.py,UNCLASSIFIED,0,
_session324_sm_generations.py,UNCLASSIFIED,0,
_session325_sm_masses.py,UNCLASSIFIED,0,
_session326_sm_ckm_pmns.py,UNCLASSIFIED,0,
_session327_sm_proton_decay.py,UNCLASSIFIED,0,
_session328_sm_g2.py,UNCLASSIFIED,0,
_session329_sm_wmass.py,UNCLASSIFIED,0,
_session330_sm_flavor.py,UNCLASSIFIED,0,
_session331_cosmo_h0.py,COMPARISON_ONLY,0,L6: codata-assign-only: H0_ratio_obs = 73.04 / 67.4
_session332_cosmo_s8.py,UNCLASSIFIED,0,
_session333_cosmo_li7.py,UNCLASSIFIED,0,
_session334_cosmo_axis.py,PRIMITIVE_ONLY,1,
_session335_cosmo_edges.py,UNCLASSIFIED,0,
_session336_cosmo_ns.py,UNCLASSIFIED,0,
_session337_cosmo_inflation.py,UNCLASSIFIED,0,
_session338_math_goldbach.py,PRIMITIVE_ONLY,2,
_session339_math_twinprime.py,UNCLASSIFIED,0,
_session340_math_abc.py,UNCLASSIFIED,0,
_session341_math_collatz.py,UNCLASSIFIED,0,
_session342_math_beal.py,UNCLASSIFIED,0,
_session343_352_paper1189_chemistry.py,COMPARISON_ONLY,2,L51: codata-assign-only: m_e = 9.1093837015e-31; c = 2.99792458e8; eV = 1.602176634e-19
_session343_chem_fine_structure.py,UNCLASSIFIED,0,
_session344_chem_mp_me_ratio.py,UNCLASSIFIED,0,
_session345_chem_rydberg.py,UNCLASSIFIED,0,
_session346_chem_bohr_radius.py,COMPARISON_ONLY,0,L7: codata-assign-only: hbar = 1.054571817e-34   # J s
_session347_chem_weinberg.py,COMPARISON_ONLY,0,L4: codata-assign-only: sin2_thW_obs = 0.23122   # MS-bar at M_Z
_session348_chem_alpha_s.py,COMPARISON_ONLY,0,L4: codata-assign-only: alpha_s_obs = 0.1179
_session349_chem_stefan_boltzmann.py,COMPARISON_ONLY,0,L10: codata-assign-only: hbar = 1.054571817e-34
_session350_chem_h2_bond.py,COMPARISON_ONLY,0,L12: codata-assign-only: r_H2_obs = 0.7414e-10   # 74.14 pm
_session351_chem_periodic_table.py,UNCLASSIFIED,0,
_session352_chem_h_ionization.py,UNCLASSIFIED,0,
_session353_math_catalan.py,COMPARISON_ONLY,0,L4: codata-assign-only: G_obs = 0.91596559
_session354_math_apery.py,COMPARISON_ONLY,0,L4: codata-assign-only: z3_obs = 1.20205690
_session355_math_khinchin.py,COMPARISON_ONLY,0,L4: codata-assign-only: K_obs = 2.68545200
_session356_math_feigenbaum.py,COMPARISON_ONLY,0,L4: codata-assign-only: delta_obs = 4.66920160
_session357_math_euler_mascheroni.py,COMPARISON_ONLY,0,L4: codata-assign-only: gamma_obs = 0.57721566
_session358_math_glaisher.py,COMPARISON_ONLY,0,L4: codata-assign-only: A_obs = 1.28242712
_session359_math_zeta_basel.py,UNCLASSIFIED,0,
_session360_math_twin_prime.py,COMPARISON_ONLY,0,L4: codata-assign-only: C2_obs = 0.66016181
_session361_math_brun.py,COMPARISON_ONLY,0,L4: codata-assign-only: B2_obs = 1.902160583
_session362_math_mills.py,COMPARISON_ONLY,0,L4: codata-assign-only: theta_obs = 1.30637788
_session363_cosmo_baryon_asymmetry.py,COMPARISON_ONLY,0,L4: codata-assign-only: eta_obs = 6.14e-10
_session364_cosmo_bao_sound_horizon.py,COMPARISON_ONLY,0,L7: codata-assign-only: r_d_obs = 147.05
_session365_cosmo_sigma8.py,UNCLASSIFIED,0,
_session366_cosmo_reionization.py,UNCLASSIFIED,0,
_session367_cosmo_helium.py,UNCLASSIFIED,0,
_session368_cosmo_deuterium.py,UNCLASSIFIED,0,
_session369_cosmo_lithium.py,COMPARISON_ONLY,0,L11: codata-assign-only: err_obs = 100*abs(Li7H-obs)/obs
_session370_cosmo_neff.py,UNCLASSIFIED,0,
_session371_cosmo_tcmb.py,UNCLASSIFIED,0,
_session372_cosmo_omega_m.py,UNCLASSIFIED,0,
_session373_sm_delta_cp.py,UNCLASSIFIED,0,
_session374_sm_jarlskog.py,UNCLASSIFIED,0,
_session375_sm_theta23.py,UNCLASSIFIED,0,
_session376_sm_top_yukawa.py,UNCLASSIFIED,0,
_session377_sm_higgs_lambda.py,UNCLASSIFIED,0,
_session378_sm_alpha_s.py,UNCLASSIFIED,0,
_session379_sm_cabibbo.py,UNCLASSIFIED,0,
_session380_sm_proton_g.py,UNCLASSIFIED,0,
_session381_sm_mt_mw.py,UNCLASSIFIED,0,
_session382_sm_mh_mt.py,UNCLASSIFIED,0,
_session383_astro_chandrasekhar.py,UNCLASSIFIED,0,
_session384_astro_tov_max.py,UNCLASSIFIED,0,
_session385_astro_photon_sphere.py,UNCLASSIFIED,0,
_session386_astro_isco.py,UNCLASSIFIED,0,
_session387_astro_bh_entropy.py,UNCLASSIFIED,0,
_session388_astro_wd_exponent.py,UNCLASSIFIED,0,
_session389_astro_grav_binding.py,UNCLASSIFIED,0,
_session390_astro_salpeter_imf.py,UNCLASSIFIED,0,
_session391_astro_ns_compactness.py,UNCLASSIFIED,0,
_session392_astro_solar_schwarzschild.py,UNCLASSIFIED,0,
_session393_cm_bcs_gap.py,UNCLASSIFIED,0,
_session394_cm_wilson.py,UNCLASSIFIED,0,
_session395_cm_wiedemann_franz.py,UNCLASSIFIED,0,
_session396_cm_von_klitzing.py,UNCLASSIFIED,0,
_session397_cm_coherence_length.py,UNCLASSIFIED,0,
_session398_cm_bec_tc.py,UNCLASSIFIED,0,
_session399_cm_zeta3.py,UNCLASSIFIED,0,
_session400_cm_isotope.py,UNCLASSIFIED,0,
_session401_cm_brinkman_rice.py,UNCLASSIFIED,0,
_session402_cm_xy_exponent.py,UNCLASSIFIED,0,
_session403_bio_dna_pitch.py,UNCLASSIFIED,0,
_session404_bio_atp.py,UNCLASSIFIED,0,
_session405_bio_codon_redundancy.py,UNCLASSIFIED,0,
_session406_bio_kleiber.py,UNCLASSIFIED,0,
_session407_bio_hill.py,UNCLASSIFIED,0,
_session408_bio_photosynthesis.py,UNCLASSIFIED,0,
_session409_bio_chlorophyll.py,UNCLASSIFIED,0,
_session410_bio_telomere.py,UNCLASSIFIED,0,
_session411_bio_redfield.py,UNCLASSIFIED,0,
_session412_bio_phyllotaxis.py,UNCLASSIFIED,0,
_session413_plasma_iter_aspect.py,UNCLASSIFIED,0,
_session414_plasma_troyon.py,UNCLASSIFIED,0,
_session415_plasma_triple_product.py,UNCLASSIFIED,0,
_session416_plasma_coulomb_log.py,UNCLASSIFIED,0,
_session417_plasma_bohm.py,UNCLASSIFIED,0,
_session418_plasma_safety_q.py,UNCLASSIFIED,0,
_session419_plasma_iter_Q.py,UNCLASSIFIED,0,
_session420_plasma_dt_peak.py,UNCLASSIFIED,0,
_session421_plasma_lawson.py,UNCLASSIFIED,0,
_session422_plasma_sheath.py,UNCLASSIFIED,0,
_session423_geo_j2.py,UNCLASSIFIED,0,
_session424_geo_scale_height.py,UNCLASSIFIED,0,
_session425_geo_magnetopause.py,UNCLASSIFIED,0,
_session426_geo_lapse.py,UNCLASSIFIED,0,
_session427_geo_obliquity.py,UNCLASSIFIED,0,
_session428_geo_greenhouse.py,UNCLASSIFIED,0,
_session429_geo_salinity.py,UNCLASSIFIED,0,
_session430_geo_earth_moon.py,UNCLASSIFIED,0,
_session431_geo_brunt_vaisala.py,UNCLASSIFIED,0,
_session432_geo_pressure.py,UNCLASSIFIED,0,
_session433_part_baryogenesis.py,UNCLASSIFIED,0,
_session434_part_proton_lifetime.py,UNCLASSIFIED,0,
_session435_part_neutrino_mass.py,UNCLASSIFIED,0,
_session436_part_sterile_neutrino.py,UNCLASSIFIED,0,
_session437_part_axion.py,UNCLASSIFIED,0,
_session438_part_wimp.py,UNCLASSIFIED,0,
_session439_part_eta_gg.py,UNCLASSIFIED,0,
_session440_part_top_yukawa.py,UNCLASSIFIED,0,
_session441_part_higgs.py,UNCLASSIFIED,0,
_session442_part_pmns_t12.py,UNCLASSIFIED,0,
_session443_info_ln2.py,UNCLASSIFIED,0,
_session444_info_log2e.py,UNCLASSIFIED,0,
_session445_info_pi_over_2.py,UNCLASSIFIED,0,
_session446_info_surface_code.py,UNCLASSIFIED,0,
_session447_info_euler_mascheroni.py,UNCLASSIFIED,0,
_session448_info_catalan.py,UNCLASSIFIED,0,
_session449_info_ln10.py,UNCLASSIFIED,0,
_session450_info_omega_lambert.py,UNCLASSIFIED,0,
_session451_info_khinchin.py,UNCLASSIFIED,0,
_session452_info_sqrt_2pi.py,UNCLASSIFIED,0,
_session453_gr_mercury.py,UNCLASSIFIED,0,
_session454_gr_light_bending.py,UNCLASSIFIED,0,
_session455_gr_shapiro.py,UNCLASSIFIED,0,
_session456_gr_gpb_geodetic.py,UNCLASSIFIED,0,
_session457_gr_gpb_frame_drag.py,UNCLASSIFIED,0,
_session458_gr_hulse_taylor.py,UNCLASSIFIED,0,
_session459_gr_bh_shadow.py,UNCLASSIFIED,0,
_session460_gr_photon_sphere.py,UNCLASSIFIED,0,
_session461_gr_nanograv.py,UNCLASSIFIED,0,
_session462_gr_kerr_isco.py,UNCLASSIFIED,0,
_session463_si_bandgap.py,UNCLASSIFIED,0,
_session464_gaas_bandgap.py,UNCLASSIFIED,0,
_session465_diamond_bandgap.py,UNCLASSIFIED,0,
_session466_bcs_ratio.py,UNCLASSIFIED,0,
_session467_lorenz_number.py,UNCLASSIFIED,0,
_session468_abrikosov_angle.py,UNCLASSIFIED,0,
_session469_n_water.py,UNCLASSIFIED,0,
_session470_stefan_boltzmann.py,UNCLASSIFIED,0,
_session471_qhe_plateau.py,UNCLASSIFIED,0,
_session472_avogadro.py,UNCLASSIFIED,0,
_session473_h_alpha.py,UNCLASSIFIED,0,
_session474_lyman_alpha.py,UNCLASSIFIED,0,
_session475_fine_structure.py,UNCLASSIFIED,0,
_session476_rydberg.py,UNCLASSIFIED,0,
_session477_h_ionization.py,UNCLASSIFIED,0,
_session478_bohr_radius.py,UNCLASSIFIED,0,
_session479_hartree.py,UNCLASSIFIED,0,
_session480_compton.py,UNCLASSIFIED,0,
_session481_classical_e_radius.py,UNCLASSIFIED,0,
_session482_planck.py,UNCLASSIFIED,0,
_session483_binding_max.py,UNCLASSIFIED,0,
_session484_magic_2.py,UNCLASSIFIED,0,
_session485_magic_8.py,UNCLASSIFIED,0,
_session486_magic_20.py,UNCLASSIFIED,0,
_session487_magic_28.py,UNCLASSIFIED,0,
_session488_magic_50.py,UNCLASSIFIED,0,
_session489_magic_82.py,UNCLASSIFIED,0,
_session490_magic_126.py,UNCLASSIFIED,0,
_session491_deuteron.py,UNCLASSIFIED,0,
_session492_alpha_binding.py,UNCLASSIFIED,0,
_session493_reynolds_crit.py,UNCLASSIFIED,0,
_session494_sound_speed.py,UNCLASSIFIED,0,
_session495_von_karman.py,UNCLASSIFIED,0,
_session496_strouhal.py,UNCLASSIFIED,0,
_session497_prandtl.py,UNCLASSIFIED,0,
_session498_sphere_drag.py,UNCLASSIFIED,0,
_session499_kolmogorov.py,UNCLASSIFIED,0,
_session500_log_law_B.py,UNCLASSIFIED,0,
_session501_knudsen.py,UNCLASSIFIED,0,
_session502_bond_number.py,UNCLASSIFIED,0,
_session503_kepler_packing.py,UNCLASSIFIED,0,
_session504_circle_packing.py,UNCLASSIFIED,0,
_session505_catalan_C4.py,UNCLASSIFIED,0,
_session506_catalan_C5.py,UNCLASSIFIED,0,
_session507_buckyball_faces.py,UNCLASSIFIED,0,
_session508_cantor_hausdorff.py,UNCLASSIFIED,0,
_session509_sierpinski_hausdorff.py,UNCLASSIFIED,0,
_session510_dodecahedron.py,UNCLASSIFIED,0,
_session511_tetra_dihedral.py,UNCLASSIFIED,0,
_session512_buckyball_vertices.py,UNCLASSIFIED,0,
_session513_galilean_moons.py,UNCLASSIFIED,0,
_session514_planets_pluto.py,UNCLASSIFIED,0,
_session515_solar_cycle.py,UNCLASSIFIED,0,
_session516_bode_earth.py,UNCLASSIFIED,0,
_session517_bode_mercury.py,UNCLASSIFIED,0,
_session518_bode_mars.py,UNCLASSIFIED,0,
_session519_halley_period.py,UNCLASSIFIED,0,
_session520_saturn_obliquity.py,UNCLASSIFIED,0,
_session521_jupiter_period.py,UNCLASSIFIED,0,
_session522_saturn_period.py,UNCLASSIFIED,0,
_session523_pareto.py,UNCLASSIFIED,0,
_session524_kleiber.py,UNCLASSIFIED,0,
_session525_hill.py,UNCLASSIFIED,0,
_session526_harmonic_h2.py,UNCLASSIFIED,0,
_session527_phyllotaxis.py,UNCLASSIFIED,0,
_session528_dna_bp_turn.py,UNCLASSIFIED,0,
_session529_chromosomes.py,UNCLASSIFIED,0,
_session530_amino_acids.py,UNCLASSIFIED,0,
_session531_codons.py,UNCLASSIFIED,0,
_session532_heart_rate.py,UNCLASSIFIED,0,
_session533_e.py,UNCLASSIFIED,0,
_session534_e_squared.py,UNCLASSIFIED,0,
_session535_pi_over_4.py,UNCLASSIFIED,0,
_session536_gamma.py,UNCLASSIFIED,0,
_session537_ln_2.py,UNCLASSIFIED,0,
_session538_ln_10.py,UNCLASSIFIED,0,
_session539_catalan.py,UNCLASSIFIED,0,
_session540_apery.py,UNCLASSIFIED,0,
_session541_pi_squared.py,UNCLASSIFIED,0,
_session542_zeta_2.py,UNCLASSIFIED,0,
_session543_mp_me.py,UNCLASSIFIED,0,
_session544_mmu_me.py,UNCLASSIFIED,0,
_session545_mtau_me.py,UNCLASSIFIED,0,
_session546_mtau_mmu.py,UNCLASSIFIED,0,
_session547_higgs.py,UNCLASSIFIED,0,
_session548_W_Z.py,UNCLASSIFIED,0,
_session549_mn_mp.py,UNCLASSIFIED,0,
_session550_mp_MeV.py,UNCLASSIFIED,0,
_session551_me_MeV.py,UNCLASSIFIED,0,
_session552_alpha.py,UNCLASSIFIED,0,
_session553_CO2.py,UNCLASSIFIED,0,
_session554_lapse.py,UNCLASSIFIED,0,
_session555_scaleH.py,UNCLASSIFIED,0,
_session556_solar.py,UNCLASSIFIED,0,
_session557_salinity.py,UNCLASSIFIED,0,
_session558_pressure.py,UNCLASSIFIED,0,
_session559_albedo.py,UNCLASSIFIED,0,
_session560_greenhouse.py,UNCLASSIFIED,0,
_session561_tropopause.py,UNCLASSIFIED,0,
_session562_ozone.py,UNCLASSIFIED,0,
_session563_g.py,UNCLASSIFIED,0,
_session564_steelYield.py,UNCLASSIFIED,0,
_session565_concreteFc.py,UNCLASSIFIED,0,
_session566_steelE.py,UNCLASSIFIED,0,
_session567_concreteRho.py,UNCLASSIFIED,0,
_session568_steelRho.py,UNCLASSIFIED,0,
_session569_alRho.py,UNCLASSIFIED,0,
_session570_woodRho.py,UNCLASSIFIED,0,
_session571_mohs.py,UNCLASSIFIED,0,
_session572_sound.py,UNCLASSIFIED,0,
_session573_moon.py,UNCLASSIFIED,0,
_session574_AU.py,UNCLASSIFIED,0,
_session575_pcly.py,UNCLASSIFIED,0,
_session576_hubble.py,UNCLASSIFIED,0,
_session577_sunRadius.py,UNCLASSIFIED,0,
_session578_AUgm.py,UNCLASSIFIED,0,
_session579_sunMass.py,UNCLASSIFIED,0,
_session580_jupiter.py,UNCLASSIFIED,0,
_session581_year.py,UNCLASSIFIED,0,
_session582_lunarMonth.py,UNCLASSIFIED,0,
_session583_avogadro.py,UNCLASSIFIED,0,
_session584_R.py,UNCLASSIFIED,0,
_session585_H.py,UNCLASSIFIED,0,
_session586_C.py,UNCLASSIFIED,0,
_session587_O.py,UNCLASSIFIED,0,
_session588_N.py,UNCLASSIFIED,0,
_session589_kB.py,UNCLASSIFIED,0,
_session590_h.py,UNCLASSIFIED,0,
_session591_eV.py,UNCLASSIFIED,0,
_session592_H2O.py,UNCLASSIFIED,0,
_session593_bodyTemp.py,UNCLASSIFIED,0,
_session594_bloodPH.py,UNCLASSIFIED,0,
_session595_hemoglobin.py,UNCLASSIFIED,0,
_session596_heartRate.py,UNCLASSIFIED,0,
_session597_systolic.py,UNCLASSIFIED,0,
_session598_diastolic.py,UNCLASSIFIED,0,
_session599_breathing.py,UNCLASSIFIED,0,
_session600_glucose.py,UNCLASSIFIED,0,
_session601_DNA.py,UNCLASSIFIED,0,
_session602_height.py,UNCLASSIFIED,0,
_session603_Rearth.py,UNCLASSIFIED,0,
_session604_core.py,UNCLASSIFIED,0,
_session605_crust.py,UNCLASSIFIED,0,
_session606_ocean.py,UNCLASSIFIED,0,
_session607_moho.py,UNCLASSIFIED,0,
_session608_mariana.py,UNCLASSIFIED,0,
_session609_everest.py,UNCLASSIFIED,0,
_session610_karman.py,UNCLASSIFIED,0,
_session611_earthAge.py,UNCLASSIFIED,0,
_session612_orbitalV.py,UNCLASSIFIED,0,
_session613_Z0.py,UNCLASSIFIED,0,
_session614_alpha.py,UNCLASSIFIED,0,
_session615_eps0.py,UNCLASSIFIED,0,
_session616_mu0.py,UNCLASSIFIED,0,
_session617_ke.py,UNCLASSIFIED,0,
_session618_bohr.py,UNCLASSIFIED,0,
_session619_rydberg.py,UNCLASSIFIED,0,
_session620_compton.py,UNCLASSIFIED,0,
_session621_ge.py,UNCLASSIFIED,0,
_session622_bohrMag.py,UNCLASSIFIED,0,
_session623_rydbergE.py,UNCLASSIFIED,0,
_session624_stefan.py,UNCLASSIFIED,0,
_session625_wien.py,UNCLASSIFIED,0,
_session626_faraday.py,UNCLASSIFIED,0,
_session627_avogadro.py,UNCLASSIFIED,0,
_session628_kB.py,UNCLASSIFIED,0,
_session629_planck.py,UNCLASSIFIED,0,
_session630_c.py,UNCLASSIFIED,0,
_session631_e.py,UNCLASSIFIED,0,
_session632_hartree.py,UNCLASSIFIED,0,
_session633_pi.py,UNCLASSIFIED,0,
_session634_e.py,UNCLASSIFIED,0,
_session635_goldenRatio.py,UNCLASSIFIED,0,
_session636_gamma.py,UNCLASSIFIED,0,
_session637_sqrt2.py,UNCLASSIFIED,0,
_session638_sqrt3.py,UNCLASSIFIED,0,
_session639_sqrt5.py,UNCLASSIFIED,0,
_session640_ln2.py,UNCLASSIFIED,0,
_session641_ln10.py,UNCLASSIFIED,0,
_session642_zeta3.py,UNCLASSIFIED,0,
_session643_omegaM.py,UNCLASSIFIED,0,
_session644_omegaL.py,UNCLASSIFIED,0,
_session645_TCMB.py,UNCLASSIFIED,0,
_session646_ageGyr.py,UNCLASSIFIED,0,
