script,classification,has_atoms_dict,has_search_def,has_search_call,has_candidates_dict,has_best_pick,has_closure_output,codata_count,obs_assign_count,structural_score,obs_in_pred
_session292_cosmological_constant.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,6,1,0,False
_session293_hubble_tension_split.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session293_neutrino_gw_coupling.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session294_high_z_quasar_batch.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session294_neutron_lifetime.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,4,0,False
_session295_cooling_flow_mass_accretion.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session295_lithium7_problem.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,1,0,False
_session296_302_millennium_harvester.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session296_magnetar_thermal_coupling.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session296_millennium_poincare_perelman.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session297_millennium_riemann.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,1,1,False
_session297_orion_habitable_zone.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session298_alma_molecular_gas.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session298_millennium_p_vs_np.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session299_gw190425_mass_gap_errors.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session299_millennium_yang_mills.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session300_millennium_navier_stokes.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,1,False
_session300_snr_shock_velocity.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session301_millennium_hodge.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session301_pnp_conjecture_anchor.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session302_millennium_bsd.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session302_tde_rate_mass.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session303_paradox_amps_firewall.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session303_universal_buoyancy_solver.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session304_paradox_boltzmann_brain.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session304_rho_vac_scm_derivation.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session305_paradox_frauchiger_renner.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session306_paradox_loschmidt.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session307_paradox_maxwell_demon.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session308_paradox_bell_tsirelson.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session309_paradox_banach_tarski.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session310_open_cosmological_constant.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,1,0,False
_session311_open_hierarchy_problem.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session312_open_strong_cp.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session313_open_baryogenesis.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,6,1,0,False
_session314_open_dark_matter.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session315_open_dark_energy.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,0,2,0,False
_session316_open_neutrino_mass.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session317_qg_bh_singularity.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session318_qg_firewall.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session319_qg_bigbang.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session320_qg_holography.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session321_qg_ctc.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session322_qg_eperer.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session323_qg_born.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session324_sm_generations.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session325_sm_masses.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session326_sm_ckm_pmns.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session327_sm_proton_decay.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session328_sm_g2.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session329_sm_wmass.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session330_sm_flavor.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session331_cosmo_h0.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session332_cosmo_s8.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session333_cosmo_li7.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session334_cosmo_axis.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session335_cosmo_edges.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session336_cosmo_ns.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session337_cosmo_inflation.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session338_math_goldbach.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session339_math_twinprime.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session340_math_abc.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session341_math_collatz.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session342_math_beal.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session343_352_paper1189_chemistry.py,PRIMITIVE_DERIVATION,False,False,False,False,False,True,2,0,0,False
_session343_chem_fine_structure.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session344_chem_mp_me_ratio.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session345_chem_rydberg.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session346_chem_bohr_radius.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,2,0,0,False
_session347_chem_weinberg.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,7,1,0,False
_session348_chem_alpha_s.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session349_chem_stefan_boltzmann.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,1,0,0,False
_session350_chem_h2_bond.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session351_chem_periodic_table.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session352_chem_h_ionization.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session353_math_catalan.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session354_math_apery.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session355_math_khinchin.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session356_math_feigenbaum.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session357_math_euler_mascheroni.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session358_math_glaisher.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session359_math_zeta_basel.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session360_math_twin_prime.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session361_math_brun.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session362_math_mills.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session363_cosmo_baryon_asymmetry.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,4,1,0,False
_session364_cosmo_bao_sound_horizon.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session365_cosmo_sigma8.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session366_cosmo_reionization.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session367_cosmo_helium.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session368_cosmo_deuterium.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session369_cosmo_lithium.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,1,0,False
_session370_cosmo_neff.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session371_cosmo_tcmb.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session372_cosmo_omega_m.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session373_sm_delta_cp.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session374_sm_jarlskog.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session375_sm_theta23.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session376_sm_top_yukawa.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session377_sm_higgs_lambda.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session378_sm_alpha_s.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session379_sm_cabibbo.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session380_sm_proton_g.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session381_sm_mt_mw.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session382_sm_mh_mt.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session383_astro_chandrasekhar.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session384_astro_tov_max.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session385_astro_photon_sphere.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session386_astro_isco.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session387_astro_bh_entropy.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session388_astro_wd_exponent.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session389_astro_grav_binding.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session390_astro_salpeter_imf.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session391_astro_ns_compactness.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session392_astro_solar_schwarzschild.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session393_cm_bcs_gap.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session394_cm_wilson.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session395_cm_wiedemann_franz.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session396_cm_von_klitzing.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session397_cm_coherence_length.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session398_cm_bec_tc.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session399_cm_zeta3.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session400_cm_isotope.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session401_cm_brinkman_rice.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session402_cm_xy_exponent.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session403_bio_dna_pitch.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session404_bio_atp.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session405_bio_codon_redundancy.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session406_bio_kleiber.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session407_bio_hill.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session408_bio_photosynthesis.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session409_bio_chlorophyll.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session410_bio_telomere.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session411_bio_redfield.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session412_bio_phyllotaxis.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session413_plasma_iter_aspect.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session414_plasma_troyon.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session415_plasma_triple_product.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session416_plasma_coulomb_log.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session417_plasma_bohm.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session418_plasma_safety_q.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session419_plasma_iter_Q.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session420_plasma_dt_peak.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session421_plasma_lawson.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session422_plasma_sheath.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session423_geo_j2.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session424_geo_scale_height.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session425_geo_magnetopause.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session426_geo_lapse.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session427_geo_obliquity.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session428_geo_greenhouse.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session429_geo_salinity.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session430_geo_earth_moon.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session431_geo_brunt_vaisala.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session432_geo_pressure.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session433_part_baryogenesis.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session434_part_proton_lifetime.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session435_part_neutrino_mass.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session436_part_sterile_neutrino.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session437_part_axion.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session438_part_wimp.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session439_part_eta_gg.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session440_part_top_yukawa.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session441_part_higgs.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session442_part_pmns_t12.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session443_info_ln2.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session444_info_log2e.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session445_info_pi_over_2.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session446_info_surface_code.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session447_info_euler_mascheroni.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session448_info_catalan.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session449_info_ln10.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session450_info_omega_lambert.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session451_info_khinchin.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session452_info_sqrt_2pi.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session453_gr_mercury.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session454_gr_light_bending.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session455_gr_shapiro.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session456_gr_gpb_geodetic.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session457_gr_gpb_frame_drag.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session458_gr_hulse_taylor.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session459_gr_bh_shadow.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session460_gr_photon_sphere.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session461_gr_nanograv.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session462_gr_kerr_isco.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session463_si_bandgap.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session464_gaas_bandgap.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session465_diamond_bandgap.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session466_bcs_ratio.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session467_lorenz_number.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session468_abrikosov_angle.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session469_n_water.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session470_stefan_boltzmann.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session471_qhe_plateau.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session472_avogadro.py,STRUCTURAL_IDENTITY,False,False,False,False,False,True,0,0,0,False
_session473_h_alpha.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session474_lyman_alpha.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session475_fine_structure.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session476_rydberg.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session477_h_ionization.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session478_bohr_radius.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session479_hartree.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session480_compton.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session481_classical_e_radius.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session482_planck.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session483_binding_max.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session484_magic_2.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
_session485_magic_8.py,NO_CLOSURE_OUTPUT,False,False,False,False,False,False,0,0,0,False
