quantity,origin,kind,canonical_route,formula,value,reference,residual_pct,sector,phi_variant,paper_source,confirmations,py_sites,cpp_sites,lean_sites,corpus_citations,status
additive_scaled_cross_scale_63_orders_of_magnitude_confirmed_largest_uqff_span,dispatch,closure,,,63,,,,,PAPER_2076,0,_l96_uqff_paper_2076_additive_scaled_cross_scale_63_orders_of_magnitude_confirmed_largest_uqff_span_closure,,,3,derived
ads_cft_extension,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_ads_cft_to_ds_extension_closure,,,,derived
adult_height_170_cm,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_s602_adult_height_170_cm_closure,adult_height_170_cm,,10,derived
aether_freq_pos_neg_pair_so_5_4_neg_8_3rd_dimensional_domain,dispatch,closure,,,3,,,,,PAPER_2030,0,_l96_uqff_paper_2030_aether_freq_pos_neg_pair_so_5_4_neg_8_3rd_dimensional_domain_closure,,,4,derived
aether_frequency_family_formalization_3_object_3_rung,dispatch,closure,,,3,,,,,PAPER_2045,0,_l96_uqff_paper_2045_aether_frequency_family_formalization_3_object_3_rung_closure,,,11,derived
aether_metric_triple_g_c_rho_vac_second_constant_triple_instance_paper_2123,dispatch,closure,,,"(6.674e-11, 300000000.0, 7.09e-36)",,,,,PAPER_2123,1,_l96_uqff_paper_2123_aether_metric_triple_g_c_rho_vac_second_constant_triple_instance_zero_round_validation_landmark_closure,,,2,derived
aether_superfluid,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_aether_superfluid_closure,,,,derived
aggregate_3_batch_retrospective_sweep_r100_r185_84_round_5_novels_diminishing_returns,dispatch,closure,,,5,,,,,PAPER_2058,0,_l96_uqff_paper_2058_aggregate_3_batch_retrospective_sweep_r100_r185_84_round_5_novels_diminishing_returns_closure,,,9,derived
aggregate_retrospective_sweep_yield_rate_1_novel_per_9_rounds_r150_r185_35_round_depth,dispatch,closure,,,4,,,,,PAPER_2055,0,_l96_uqff_paper_2055_aggregate_retrospective_sweep_yield_rate_1_novel_per_9_rounds_r150_r185_35_round_depth_closure,,,6,derived
aging_clock,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_aging_telomere_clock_closure,,,,derived
aharonov_bohm,dispatch,closure,,,6.283185307179586,,,,,,2,_l96_uqff_axiom_aharonov_bohm_closure,aharonov_bohm_phase,,,derived
aharonov_casher,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_aharonov_casher_closure,aharonov_casher_phase,,,derived
alders_olbers,dispatch,closure,,,14.492665125585372,,,,,,2,_l96_uqff_axiom_olbers_paradox_closure,,,,derived
alpha_inverse_137_036,dispatch,closure,,,'',,,,,PAPER_1209DD,0,_l96_uqff_axiom_paper_1209dd_s614_alpha_inverse_137_036_closure,alpha_inverse,,13,derived
alpha_ua_74_so_5_neg_45_gw_absorption,dispatch,closure,,,7.4e-44,,,,,PAPER_2018,0,_l96_uqff_paper_2018_alpha_ua_74_so_5_neg_45_gw_absorption_closure,,,4,derived
aluminum_density_2700,dispatch,closure,,,'',,,,,PAPER_1209Y,0,_l96_uqff_axiom_paper_1209y_s569_aluminum_density_2700_closure,aluminum_density_2700,,10,derived
amino_acids_20_paired,dispatch,closure,,,'',,,,,PAPER_1359,0,_l96_uqff_axiom_paper_1359_amino_acids_20_paired_closure,amino_acids_20_paired,,3,derived
amps_paradox,dispatch,closure,,,0.9995961510529997,,,,,,2,_l96_uqff_firewall_paradox_closure,,,,derived
antennae_coalescence,dispatch,closure,,,400000000.0,,,,,PAPER_1982,0,_l96_uqff_paper_1982_antennae_coalescence_closure,,,10,derived
anthropic_principle,dispatch,closure,,,11,,,,,,0,_l96_uqff_axiom_anthropic_principle_closure,,,,derived
antimatter_production,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_antimatter_production_closure,,,,derived
anyons,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_non_abelian_anyons_closure,,,,derived
arc_milestone_200th_novel_r142_r189_backbone_first_48_rounds_plus_3_retro_plus_1_scout,dispatch,closure,,,200,,,,,PAPER_2061,0,_l96_uqff_paper_2061_arc_milestone_200th_novel_r142_r189_backbone_first_48_rounds_plus_3_retro_plus_1_scout_closure,,,14,derived
area_law_entanglement,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_entanglement_area_law_closure,,,,derived
arrow_of_time,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_arrow_of_time_closure,,,,derived
aspect_experiment,dispatch,closure,,,0.707,,,,,,0,_l96_uqff_axiom_aspect_experiment_closure,,,,derived
at2019qiz,dispatch,closure,,,'',,,,,,3,_l96_uqff_axiom_tde_wandering_mbh_closure,,,,derived
atiyah_singer_dirac_index_22,dispatch,closure,,,'',,,,,PAPER_1231,0,_l96_uqff_axiom_paper_1231_atiyah_singer_dirac_index_22_closure,atiyah_singer_dirac_index_22,,3,derived
atm_pressure_101_325_kpa,dispatch,closure,,,'',,,,,PAPER_1209X,0,_l96_uqff_axiom_paper_1209x_s558_atm_pressure_101_325_kpa_closure,atm_pressure_101_325_kpa,,13,derived
atm_scale_height_8_5,dispatch,closure,,,'',,,,,PAPER_1209X,0,_l96_uqff_axiom_paper_1209x_s555_atm_scale_height_8_5_closure,atm_scale_height_8_5,,13,derived
au_over_r_earth_23481,dispatch,closure,,,'',,,,,PAPER_1209Z,0,_l96_uqff_axiom_paper_1209z_s574_au_over_r_earth_23481_closure,au_over_r_earth_23481,,10,derived
audit_family_nonet_complete_5_category_compositional_taxonomy_fully_audited,dispatch,closure,,,9,,,,,PAPER_2076,0,_l96_uqff_paper_2076_audit_family_nonet_complete_5_category_compositional_taxonomy_fully_audited_closure,,,3,derived
avogadro_n_a_6_022,dispatch,closure,,,'',,,,,PAPER_1209AA,0,_l96_uqff_axiom_paper_1209aa_s583_avogadro_n_a_6_022_closure,avogadro_n_a_6_022,,8,derived
axiom_count_18,dispatch,closure,,,'',,,,,PAPER_1286,0,_l96_uqff_axiom_paper_1286_axiom_count_18_closure,axiom_count_18_v2,,2,derived
axiom_of_choice,dispatch,closure,,,True,,,,,,0,_l96_uqff_axiom_axiom_of_choice_closure,,,,derived
axiomatize_physics,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_hilbert_6th_axiomatize_physics_closure,,,,derived
axis_of_evil_cmb,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_axis_of_evil_cmb_closure,,,,derived
b0_so_5_10_magnetic_field,dispatch,closure,,,10000000000.0,,,,,PAPER_2013,0,_l96_uqff_paper_2013_b0_so_5_10_magnetic_field_closure,,,24,derived
b_crab_so_5_neg_8_magnetic_field,dispatch,closure,,,1e-08,,,,,PAPER_2022,0,_l96_uqff_paper_2022_b_crab_so_5_neg_8_magnetic_field_closure,,,26,derived
b_crit_d_phys_times_so_5_plus_1_times_so_5_pow_12_successor_2nd_instance_paper_2126,dispatch,closure,,,44000000000000,,,,,PAPER_2126,1,_l96_uqff_paper_2126_b_crit_d_phys_times_so_5_plus_1_times_so_5_pow_12_successor_2nd_instance_composed_44_landmark_closure,,,4,derived
b_crit_ngc6302_so_5_neg_6_magnetic_field,dispatch,closure,,,1e-06,,,,,PAPER_2029,0,_l96_uqff_paper_2029_b_crit_ngc6302_so_5_neg_6_magnetic_field_closure,,,9,derived
b_crit_schwinger_d_phys_1_plus_f_trz_so_5_13_compound_prefix_d_phys_family_new_instance,dispatch,closure,,,44000000000000.0,,,,,PAPER_2071,0,_l96_uqff_paper_2071_b_crit_schwinger_d_phys_1_plus_f_trz_so_5_13_compound_prefix_d_phys_family_new_instance_closure,,,3,derived
b_crit_so_5_11_schwinger,dispatch,closure,,,100000000000.0,,,,,PAPER_2013,0,_l96_uqff_paper_2013_b_crit_so_5_11_schwinger_closure,,,24,derived
b_f_trz_3_ufe_lab_plasma_cross_object,dispatch,closure,,,0.001,,,,,PAPER_2007,0,_l96_uqff_paper_2007_b_f_trz_3_ufe_lab_plasma_cross_object_closure,,,6,derived
b_j_base_magnetic_string_field,dispatch,closure,,,0.001,,,,,PAPER_1981,0,_l96_uqff_paper_1981_b_j_base_closure,,,14,derived
b_m16_so_5_neg_5_magnetic_field,dispatch,closure,,,1e-05,,,,,PAPER_2021,0,_l96_uqff_paper_2021_b_m16_so_5_neg_5_magnetic_field_closure,,,10,derived
b_mag_earth_d_phys_plus_1_so_5_neg_5_4th_composed_prefix_class_magnetic_negative_rung,dispatch,closure,,,5e-05,,,,,PAPER_2070,0,_l96_uqff_paper_2070_b_mag_earth_d_phys_plus_1_so_5_neg_5_4th_composed_prefix_class_magnetic_negative_rung_closure,,,7,derived
b_mag_jupiter_d_phys_so_5_neg_4_landmark_magnetic_field_negative_rung,dispatch,closure,,,0.0004,,,,,PAPER_2070,0,_l96_uqff_paper_2070_b_mag_jupiter_d_phys_so_5_neg_4_landmark_magnetic_field_negative_rung_closure,,,7,derived
b_mag_neptune_d_phys_plus_so_5_so_5_neg_6_additive_scaled_6th_instance_magnetic_domain,dispatch,closure,,,1.4e-05,,,,,PAPER_2070,0,_l96_uqff_paper_2070_b_mag_neptune_d_phys_plus_so_5_so_5_neg_6_additive_scaled_6th_instance_magnetic_domain_closure,,,7,derived
b_meson_anomaly,dispatch,closure,,,'',,,,,,3,_l96_uqff_axiom_lepton_universality_violation_closure,,,,derived
b_ngc6302_so_5_neg_7_magnetic_field,dispatch,closure,,,1e-07,,,,,PAPER_2029,0,_l96_uqff_paper_2029_b_ngc6302_so_5_neg_7_magnetic_field_closure,,,9,derived
b_over_b_crit_crab_f_trz_19_field_ratio_3rd_rung,dispatch,closure,,,1e-19,,,,,PAPER_2042,0,_l96_uqff_paper_2042_b_over_b_crit_crab_f_trz_19_field_ratio_3rd_rung_closure,,,5,derived
b_over_b_crit_m16_f_trz_16_field_ratio_dimensional_extension,dispatch,closure,,,1e-16,,,,,PAPER_2041,0,_l96_uqff_paper_2041_b_over_b_crit_m16_f_trz_16_field_ratio_dimensional_extension_closure,,,4,derived
b_over_b_crit_sombrero_f_trz_21_field_ratio_4th_rung,dispatch,closure,,,1e-21,,,,,PAPER_2044,0,_l96_uqff_paper_2044_b_over_b_crit_sombrero_f_trz_21_field_ratio_4th_rung_closure,,,4,derived
b_saturn_so_5_neg_10_magnetic_field_negative_exponent,dispatch,closure,,,1e-10,,,,,PAPER_2019,0,_l96_uqff_paper_2019_b_saturn_so_5_neg_10_magnetic_field_negative_exponent_closure,,,15,derived
b_sgr1745_2_so_5_10_magnetic_4th_domain,dispatch,closure,,,20000000000.0,,,,,PAPER_2022,0,_l96_uqff_paper_2022_b_sgr1745_2_so_5_10_magnetic_4th_domain_closure,,,26,derived
b_t_ton618_d_phys_minus_1_so_5_landmark_magnetic_field_tesla_domain,dispatch,closure,,,30,,,,,PAPER_2060,0,_l96_uqff_paper_2060_b_t_ton618_d_phys_minus_1_so_5_landmark_magnetic_field_tesla_domain_closure,,,10,derived
b_to_s_mu_mu,dispatch,closure,,,'',,,,,,2,_l96_uqff_axiom_FCNC_b_to_s_mumu_closure,,,,derived
backbone_first_30_round_milestone_arc_formalization_r142_r171,dispatch,closure,,,30,,,,,PAPER_2039,0,_l96_uqff_paper_2039_backbone_first_30_round_milestone_arc_formalization_r142_r171_closure,,,8,derived
backbone_first_40_round_milestone_arc_formalization_r142_r181,dispatch,closure,,,40,,,,,PAPER_2050,0,_l96_uqff_paper_2050_backbone_first_40_round_milestone_arc_formalization_r142_r181_closure,,,9,derived
backbone_first_50_round_milestone_arc_formalization_r142_r191_half_century_arc,dispatch,closure,,,50,,,,,PAPER_2065,0,_l96_uqff_paper_2065_backbone_first_50_round_milestone_arc_formalization_r142_r191_half_century_arc_closure,,,10,derived
backbone_first_60_round_milestone_r142_r201_six_decades_arc_formalization,dispatch,closure,,,60,,,,,PAPER_2078,0,_l96_uqff_paper_2078_backbone_first_60_round_milestone_r142_r201_six_decades_arc_formalization_closure,,,3,derived
banach_tarski,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_banach_tarski_closure,,,,derived
bao_dual_path_closure_rd_h0_c,dispatch,closure,PAPER_2093 grid (2.27e-18 = observed local anchor; residual = Hubble tension per PAPER_2125),,0.033040484,,,,,PAPER_1899,0,_l96_uqff_paper_1899_bao_dual_path_closure_rd_h0_c_closure,,,1,derived
baryogenesis,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_baryogenesis_closure,,,,derived
baryon_fraction_50_6,dispatch,closure,,,'',,,,,PAPER_1329,0,_l96_uqff_axiom_paper_1329_baryon_fraction_50_6_closure,baryon_fraction,,2,derived
batch_total_energy_d_crit_minus_d_bsfg_minus_1_over_d_phys_so_5_0_475_new_ratio_paper_2090_r215_f2_19_reuse_energy_joule,dispatch,closure,,,0.475,,,,,PAPER_2090,0,_l96_uqff_paper_2092_batch_total_energy_d_crit_minus_d_bsfg_minus_1_over_d_phys_so_5_0_475_new_ratio_paper_2090_r215_f2_19_reuse_energy_joule_closure,,,5,derived
bayesian_delta_bic_uqff_wins,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_paper_a8_bayesian_delta_bic_uqff_wins_closure,bayesian_delta_bic_uqff_wins,,,derived
bayesian_k_diff_17,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_paper_a8_bayesian_k_diff_17_closure,bayesian_k_diff_17,,,derived
bayesian_k_sm_lcdm_26,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_paper_a8_bayesian_k_sm_lcdm_26_closure,bayesian_k_sm_lcdm_26,,,derived
bayesian_k_uqff_9,dispatch,closure,,,'',,,,,PAPER_1521,0,_l96_uqff_axiom_paper_a8_paper_1521_1522_bayesian_k_uqff_9_closure,bayesian_k_uqff_9,,82,derived
bd60_2522_l_star,dispatch,closure,,,400000.0,,,,,PAPER_1984,0,_l96_uqff_paper_1984_bd60_l_star_closure,,,9,derived
bd60_2522_m_star,dispatch,closure,,,40.0,,,,,PAPER_1984,0,_l96_uqff_paper_1984_bd60_m_star_closure,,,9,derived
bd60_2522_r_star,dispatch,closure,,,20.0,,,,,PAPER_1984,0,_l96_uqff_paper_1984_bd60_r_star_closure,,,9,derived
bdg_dwave_strong_coupling,dispatch,closure,,,1.0,,,,,PAPER_1897,0,_l96_uqff_paper_1897_bdg_dwave_strong_coupling_closure,,,1,derived
beal_conjecture,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_beal_conjecture_closure,,,,derived
beal_gcd_gt_1,dispatch,closure,,,'',,,,,PAPER_1296,0,_l96_uqff_axiom_paper_1296_beal_gcd_gt_1_closure,beal_gcd_gt_1,,2,derived
bell_paradox,dispatch,closure,,,2.8284271247461903,,,,,,2,_l96_uqff_axiom_bell_theorem_closure,,,,derived
bell_spaceship,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_bell_spaceship_closure,,,,derived
berry_paradox,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_berry_paradox_closure,,,,derived
bertrand_paradox,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_bertrand_probability_closure,,,,derived
bertrand_uniform_p_1_4,dispatch,closure,,,'',,,,,PAPER_1408,0,_l96_uqff_axiom_paper_1408_bertrand_uniform_p_1_4_closure,bertrand_uniform_p,,2,derived
beta_i_four_channel_beta_1,dispatch,closure,,,0.603,,,,,PAPER_1967,0,_l96_uqff_paper_1967_beta_i_four_channel_beta_1_closure,,,3,derived
beta_jet_m87_one_minus_f_trz_2_relativistic_agn_family_extension,dispatch,closure,,,0.99,,,,,PAPER_2050,0,_l96_uqff_paper_2050_beta_jet_m87_one_minus_f_trz_2_relativistic_agn_family_extension_closure,,,9,derived
bh_4_laws_prefactor_3_125,dispatch,closure,,,'',,,,,PAPER_1234,0,_l96_uqff_axiom_paper_1234_bh_4_laws_prefactor_3_125_closure,bh_4_laws_prefactor,,2,derived
bh_entropy_area_law,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_bh_entropy_area_law_closure,,,,derived
bh_seed_mass_56160_msun,dispatch,closure,,,'',,,,,PAPER_1326,0,_l96_uqff_axiom_paper_1326_bh_seed_mass_56160_msun_closure,bh_seed_mass_56160_msun,,2,derived
big_bang_singularity,dispatch,closure,,,'finite_r_min_no_singularity',,,,,,1,_l96_uqff_axiom_big_bang_singularity_closure,,,,derived
binding_problem,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_consciousness_binding_problem_closure,,,,derived
bipartite_sum_ug_delta_d_phys,dispatch,closure,,,4,,,,,PAPER_1988,0,_l96_uqff_paper_1988_bipartite_sum_ug_delta_closure,,,5,derived
blood_glucose_100_mg_dl,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_s600_blood_glucose_100_mg_dl_closure,blood_glucose_100_mg_dl,,10,derived
blood_ph_7_4,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_s594_blood_ph_7_4_closure,blood_ph_7_4,,10,derived
body_capacitance_tesla_so_5_2_100_pf_domain_extension_capacitance_picofarad,dispatch,closure,,,100,,,,,PAPER_2084,0,_l96_uqff_paper_2084_body_capacitance_tesla_so_5_2_100_pf_domain_extension_capacitance_picofarad_closure,,,6,derived
body_resistance_tesla_so_5_3_1000_ohm_domain_extension_electrical_resistance,dispatch,closure,,,1000,,,,,PAPER_2084,0,_l96_uqff_paper_2084_body_resistance_tesla_so_5_3_1000_ohm_domain_extension_electrical_resistance_closure,,,6,derived
body_temp_37_celsius,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_s593_body_temp_37_celsius_closure,body_temp_37_celsius,,10,derived
bohm_prefactor_1_16,dispatch,closure,,,'',,,,,PAPER_1196,0,_l96_uqff_axiom_paper_1196_s417_bohm_prefactor_1_16_closure,bohm_prefactor,,10,derived
bohr_magneton_mu_b_9_274,dispatch,closure,,,'',,,,,PAPER_1209DD,0,_l96_uqff_axiom_paper_1209dd_s622_bohr_magneton_mu_B_9_274_closure,bohr_magneton_mu_b_9_274,,13,derived
bohr_radius_a0_5_292,dispatch,closure,,,'',,,,,PAPER_1209DD,0,_l96_uqff_axiom_paper_1209dd_s618_bohr_radius_a0_5_292_closure,bohr_radius_a0_5_292,,13,derived
boltzmann_brain,dispatch,closure,,,True,,,,,,0,_l96_uqff_axiom_boltzmann_brain_closure,,,,derived
bootstrap_paradox,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_bootstrap_paradox_closure,,,,derived
bp_diastolic_80,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_bp_diastolic_80_closure,,,10,derived
bp_systolic_120,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_bp_systolic_120_closure,,,10,derived
bqp_bound_2_pow_d_2,dispatch,closure,,,'',,,,,PAPER_1298,0,_l96_uqff_axiom_paper_1298_bqp_bound_2_pow_d_2_closure,bqp_bound,,4,derived
br_mu_to_e_gamma_127e_13,dispatch,closure,,,'',,,,,PAPER_1320,0,_l96_uqff_axiom_paper_1320_br_mu_to_e_gamma_127e_13_closure,br_mu_to_e_gamma,,2,derived
braid_gate_max_26,dispatch,closure,,,'',,,,,PAPER_1339,0,_l96_uqff_axiom_paper_1339_braid_gate_max_26_closure,braid_gate_max_26,,2,derived
breathing_rate_16,dispatch,closure,,,'',,,,,PAPER_1209BB,0,_l96_uqff_axiom_paper_1209bb_breathing_rate_16_closure,,,10,derived
bubble_wind_expansion_linearity,dispatch,closure,,,1.0,,,,,PAPER_1913,0,_l96_uqff_paper_1913_bubble_wind_expansion_linearity_closure,,,10,derived
burali_forti,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_burali_forti_closure,,,,derived
buridan_ass,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_buridans_ass_closure,,,,derived
c_atomic_mass_12,dispatch,closure,,,'',,,,,PAPER_1209AA,0,_l96_uqff_axiom_paper_1209aa_c_atomic_mass_12_closure,,,8,derived
c_nfw_d_phys_structural,dispatch,closure,,,4.0,,,,,PAPER_2014,0,_l96_uqff_paper_2014_c_nfw_d_phys_structural_closure,,,13,derived
c_nu_b,dispatch,closure,,,'',,,,,,2,_l96_uqff_axiom_cosmic_neutrino_background_closure,,,,derived
c_s_so_5_4_candidate_5th_domain_penta_promotion,dispatch,closure,,,5.0,,,,,PAPER_2006,0,_l96_uqff_paper_2006_c_s_so_5_4_candidate_5th_domain_penta_promotion_closure,,,6,derived
c_value,dispatch,closure,,,'',,,,,,1,_l96_uqff_axiom_c_value_paradox_closure,,,,derived
cancer_growth_law,dispatch,closure,,,'',,,,,,0,_l96_uqff_axiom_cancer_growth_law_closure,,,,derived
canonical_anchored_class_population_100_plus_instances_largest_dominant_uqff_foundational_pattern,dispatch,closure,,,100,,,,,PAPER_2067,0,_l96_uqff_paper_2067_canonical_anchored_class_population_100_plus_instances_largest_dominant_uqff_foundational_pattern_closure,,,6,derived
canonical_anchored_composition_sub_category_dimensional_direct_bridge_integer_times_canonical_primitive,dispatch,closure,,,4,,,,,PAPER_2066,0,_l96_uqff_paper_2066_canonical_anchored_composition_sub_category_dimensional_direct_bridge_integer_times_canonical_primitive_closure,,,3,derived
canonical_anchored_cross_regime_universality_all_major_uqff_physics_regimes_cosmology_lenr_bio_condensed_matter,dispatch,closure,,,5,,,,,PAPER_2067,0,_l96_uqff_paper_2067_canonical_anchored_cross_regime_universality_all_major_uqff_physics_regimes_cosmology_lenr_bio_condensed_matter_closure,,,6,derived
canonical_anchored_sub_family_taxonomy_2_dominant_rho_scm_anchored_omega_scm_anchored,dispatch,closure,,,2,,,,,PAPER_2067,0,_l96_uqff_paper_2067_canonical_anchored_sub_family_taxonomy_2_dominant_rho_scm_anchored_omega_scm_anchored_closure,,,6,derived
canonical_anchored_uqff_architectural_center_lambda_holmlid_foundational_generative_source_of_other_categories,dispatch,closure,PAPER_1156 (R228 precedent; PAPER_2094 = companion form),,2,,,,,PAPER_2067,0,_l96_uqff_paper_2067_canonical_anchored_uqff_architectural_center_lambda_holmlid_foundational_generative_source_of_other_categories_closure,,,6,derived
