file,classes,functions,constants,wolfram_terms,total,sample_classes,sample_functions,sample_constants
Source165.cpp,1,10,0,0,11,UQFFBuoyancyModule,"computeG, setSystemParams, updateVariable, addToVariable, subtractFromVariable",
Source166.cpp,1,11,0,0,12,UQFF8AstroSystemsModule,"computeG, setSystemParams, updateVariable, addToVariable, subtractFromVariable",
Source167.cpp,3,26,9,0,38,"DPMVars, UQFFCoreModule, UQFFSystem","f_nu_THz, heaviside, quasi_factor, calculate_U_g1, calculate_U_g3","K_R, Z_MAX, GAMMA, MU_0, RHO_VAC_UA"
Source48-5.cpp,1,2,0,0,3,StarMagicUQFFModule,"updateVariable, printVariables",
Source5.cpp,8,125,7,0,140,"ResonanceParams, MUGESystem, PhysicsTerm, DarkMatterHaloTerm, VacuumEnergyTerm","compute_compressed_MUGE, compute_resonance_MUGE, compute, description, compute","N, dt_ns, visc, force_jet, PI"
Source6.cpp,11,58,12,0,81,"CelestialBody, 3DObject, ToolPath, SimulationEntity, SIMPlugin","compute_Ug1, compute_Ug2, compute_Ug3, compute_Um, output_json_params","PI, c, G, num_strings, PI"
source1.cpp,6,39,0,1,46,"SearchResult, ScientificCalculatorDialog, RamanujanCalculatorDialog, CalculusButtonField, BrowserWindow","FetchDONKI, mousePressEvent, mouseMoveEvent, dragEnterEvent, dropEvent",
source10.cpp,1,26,70,1,98,SystemParams,"loadConfig, setScalingFactor, initializeCatalogue, updateCache, setVariable","PI, G, c, m_e, q"
source100.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HeavisideFractionModule","compute, getName, getDescription, compute, getName",
source101.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HeliosphereThicknessModule","compute, getName, getDescription, compute, getName",
source102.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UgIndexModule","compute, getName, getDescription, compute, getName",
source104.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MagneticMomentModule","compute, getName, getDescription, compute, getName",
source105.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, GalacticBlackHoleModule","compute, getName, getDescription, compute, getName",
source106.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NegativeTimeModule","compute, getName, getDescription, compute, getName",
source107.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, PiConstantModule","compute, getName, getDescription, compute, getName",
source108.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CorePenetrationModule","compute, getName, getDescription, compute, getName",
source109.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, QuasiLongitudinalModule","compute, getName, getDescription, compute, getName",
source11.cpp,0,29,8,1,38,,"step_function, compute_Ereact, compute_mu_s, compute_grad_Ms_r, compute_Bj","PI, c, G, num_strings, N"
source110.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, OuterFieldBubbleModule","compute, getName, getDescription, compute, getName",
source111.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ReciprocationDecayModule","compute, getName, getDescription, compute, getName",
source112.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ScmPenetrationModule","compute, getName, getDescription, compute, getName",
source113.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ScmReactivityDecayModule","compute, getName, getDescription, compute, getName",
source114.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SolarCycleFrequencyModule","compute, getName, getDescription, compute, getName",
source116.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SolarWindVelocityModule","compute, getName, getDescription, compute, getName",
source117.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, StellarMassModule","compute, getName, getDescription, compute, getName",
source118.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, StellarRotationModule","compute, getName, getDescription, compute, getName",
source12.cpp,13,55,0,1,69,"SymEngineAllocator, Units, MathErrorListener, SymEngineVisitor, VarCollectorVisitor","toString, checkEthical, feedbackLoop, highlightBlock, mousePressEvent",
source120.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, StressEnergyTensorModule","compute, getName, getDescription, compute, getName",
source121.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SurfaceMagneticFieldModule","compute, getName, getDescription, compute, getName",
source123.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, TimeReversalZoneModule","compute, getName, getDescription, compute, getName",
source124.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, Ug1DefectModule","compute, getName, getDescription, compute, getName",
source125.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, Ug3DiskVectorModule","compute, getName, getDescription, compute, getName",
source126.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, AetherVacuumDensityModule","compute, getName, getDescription, compute, getName",
source127.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UniversalInertiaVacuumModule","compute, getName, getDescription, compute, getName",
source128.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ScmVacuumDensityModule","compute, getName, getDescription, compute, getName",
source129.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UaVacuumDensityModule","compute, getName, getDescription, compute, getName",
source13.cpp,1,16,0,1,18,MagnetarSGR1745_2900,"initializeDefaults, updateCache, setVariable, addToVariable, subtractFromVariable",
source130.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UniversalInertiaVacuumModule","compute, getName, getDescription, compute, getName",
source131.cpp,4,16,0,1,21,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ScmVelocityModule","compute, getName, getDescription, compute, getName",
source132.cpp,4,25,0,1,30,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ButterflyNebulaUQFFModule","compute, getName, getDescription, compute, getName",
source133.cpp,4,25,0,1,30,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CentaurusAUQFFModule","compute, getName, getDescription, compute, getName",
source134.cpp,4,14,1,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, Abell2256UQFFModule","compute, getName, getDescription, compute, getName",PI_VAL
source135.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ASASSN14liUQFFModule","compute, getName, getDescription, compute, getName",
source136.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CentaurusAUQFFModule","compute, getName, getDescription, compute, getName",
source137.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CrabNebulaUQFFModule","compute, getName, getDescription, compute, getName",
source138.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ElGordoUQFFModule","compute, getName, getDescription, compute, getName",
source14.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MagnetarSGR0501_4516","compute, getName, getDescription, compute, getName",
source140.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, IC2163UQFFModule","compute, getName, getDescription, compute, getName",
source141.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, J1610UQFFModule","compute, getName, getDescription, compute, getName",
source142.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, JupiterAuroraeUQFFModule","compute, getName, getDescription, compute, getName",
source144.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, LagoonNebulaUQFFModule","compute, getName, getDescription, compute, getName",
source145.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, M87JetUQFFModule","compute, getName, getDescription, compute, getName",
source146.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC1365UQFFModule","compute, getName, getDescription, compute, getName",
source147.cpp,4,35,1,1,41,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC2207UQFFModule","compute, getName, getDescription, compute, getName",pi_val
source148.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, RAquariiUQFFModule","compute, getName, getDescription, compute, getName",
source149.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SgrAStarUQFFModule","compute, getName, getDescription, compute, getName",
source15.cpp,4,21,0,1,26,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SMBHSgrAStar","compute, getName, getDescription, compute, getName",
source150.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SPTCLJ2215UQFFModule","compute, getName, getDescription, compute, getName",
source151.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, StephanQuintetUQFFModule","compute, getName, getDescription, compute, getName",
source152.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, VelaPulsarUQFFModule","compute, getName, getDescription, compute, getName",
source153.cpp,4,13,0,1,18,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, Abell2256UQFFModule","compute, getName, getDescription, compute, getName",
source16.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, StarbirthTapestry","compute, getName, getDescription, compute, getName",
source163_main1_integration.cpp,1,10,0,0,11,Source163Integration,"computeForce, computeGravity, computeDPMEvolution, computeSMBHAccretion, computeTDEDynamics",
source168.cpp,4,17,28,1,50,"SystemParams, DPMVars, UQFFBuoyancyCore, UQFFBuoyancySystem","calculate_F_LENR, calculate_F_act, calculate_F_DE, calculate_F_res, calculate_F_neutron","PI, F0, RHO_VAC_UA, ME, C"
source169.cpp,4,1,12,1,18,"DPMVars, CassiniParams, UQFFCassiniCore, UQFFCassiniSystem",main,"PI, K_R, Z_MAX, RHO_VAC_UA, RHO_VAC_SCM"
source17.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, Westerlund2","compute, getName, getDescription, compute, getName",
source170.cpp,4,3,10,1,18,"DPMVars, AstroParams, UQFFMultiAstroCore, UQFFMultiAstroSystem","Hubble_correction, get_name, main","PI, K_R, Z_MAX, NU_THz, RHO_VAC_UA"
source171.cpp,6,20,9,1,36,"PhysicsTerm, DPMVars, AstroParams, UQFFEightAstroCore, UQFFEightAstroSystem","registerDynamicTerm, listDynamicTerms, setDynamicParameter, getDynamicParameter, setEnableDynamicTerms","PI, K_R, Z_MAX, NU_THz, RHO_VAC_UA"
source172.cpp,6,26,10,1,43,"PhysicsTerm_S115, DPMVars, AstroParams, UQFFNineteenAstroCore_S115, UQFFNineteenAstroSystem_S115","calculate_gravity_compressed, calculate_resonance, simulate_DPM_creation, evaluate_26D_polynomial, compute_E_DPM_i","PI, K_R, Z_MAX, NU_THz, RHO_VAC_UA"
source173.cpp,4,38,13,1,56,"PhysicsTerm_S116, PI_Infinity_Decoder_S116, WolframFieldUnityEngine_S116, WolframFieldUnityModule_SOURCE116","getMagneticField, getConsciousnessResonance, evolveOneStep, evolveMultiway, measureDimension","QUANTUM_STATES, MAX_NODES, MAX_DEPTH, PI_UNITY, MAYAN_BAKTUN"
source174_wolfram_bridge_embedded.cpp,0,4,0,0,4,,"InitializeWolframKernel, WolframEvalToString, WolframCleanup, WolframEmbeddedBridge",
source175_uqff_wolfram_export.cpp,0,1,0,0,1,,ExportFullUQFFPrototype,
source176_auto_full_uqff.cpp,0,1,0,0,1,,AutoExportFullUQFF,
source18.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, PillarsOfCreation","compute, getName, getDescription, compute, getName",
source19.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, RingsOfRelativity","compute, getName, getDescription, compute, getName",
source2(HEAD PROGRAM).cpp,6,39,0,0,45,"SearchResult, ScientificCalculatorDialog, RamanujanCalculatorDialog, CalculusButtonField, BrowserWindow","FetchDONKI, mousePressEvent, mouseMoveEvent, dragEnterEvent, dropEvent",
source2.cpp,6,39,0,1,46,"SearchResult, ScientificCalculatorDialog, RamanujanCalculatorDialog, CalculusButtonField, BrowserWindow","FetchDONKI, mousePressEvent, mouseMoveEvent, dragEnterEvent, dropEvent",
source20.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, GalaxyNGC2525","compute, getName, getDescription, compute, getName",
source21.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC3603","compute, getName, getDescription, compute, getName",
source22.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, BubbleNebula","compute, getName, getDescription, compute, getName",
source23.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, AntennaeGalaxies","compute, getName, getDescription, compute, getName",
source24.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HorseheadNebula","compute, getName, getDescription, compute, getName",
source25.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC1275","compute, getName, getDescription, compute, getName",
source26.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HUDFGalaxies","compute, getName, getDescription, compute, getName",
source27.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, GalaxyNGC1792","compute, getName, getDescription, compute, getName",
source28.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, AndromedaUQFFModule","compute, getName, getDescription, compute, getName",
source29.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SombreroUQFFModule","compute, getName, getDescription, compute, getName",
source3.cpp,6,39,0,1,46,"SearchResult, ScientificCalculatorDialog, RamanujanCalculatorDialog, CalculusButtonField, BrowserWindow","FetchDONKI, mousePressEvent, mouseMoveEvent, dragEnterEvent, dropEvent",
source30.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SaturnUQFFModule","compute, getName, getDescription, compute, getName",
source31.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, M16UQFFModule","compute, getName, getDescription, compute, getName",
source32.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CrabUQFFModule","compute, getName, getDescription, compute, getName",
source33.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SGR1745UQFFModule","compute, getName, getDescription, compute, getName",
source34.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SGR1745UQFFModule","compute, getName, getDescription, compute, getName",
source35.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SgrA_UQFFModule","compute, getName, getDescription, compute, getName",
source36.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, TapestryUQFFModule","compute, getName, getDescription, compute, getName",
source37.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, ResonanceSuperconductiveUQFFModule","compute, getName, getDescription, compute, getName",
source38.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CompressedResonanceUQFFModule","compute, getName, getDescription, compute, getName",
source39.cpp,4,21,0,1,26,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CrabResonanceUQFFModule","compute, getName, getDescription, compute, getName",
source4.cpp,8,101,8,1,118,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CelestialBody, UQFFModule4","compute, getName, getDescription, validate, compute","PI, c, G, num_strings, N"
source40.cpp,4,15,0,1,20,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CompressedResonanceUQFF24Module","compute, getName, getDescription, compute, getName",
source41.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UniverseDiameterUQFFModule","compute, getName, getDescription, compute, getName",
source42.cpp,4,18,0,1,23,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HydrogenAtomUQFFModule","compute, getName, getDescription, compute, getName",
source43.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HydrogenPToEResonanceUQFFModule","compute, getName, getDescription, compute, getName",
source44.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, LagoonUQFFModule","compute, getName, getDescription, compute, getName",
source45.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SpiralSupernovaeUQFFModule","compute, getName, getDescription, compute, getName",
source46.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC6302UQFFModule","compute, getName, getDescription, compute, getName",
source47.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC6302ResonanceUQFFModule","compute, getName, getDescription, compute, getName",
source48.cpp,4,21,0,1,26,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, OrionUQFFModule","compute, getName, getDescription, compute, getName",
source49.cpp,4,19,0,1,24,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, CompressedResonanceUQFF34Module","compute, getName, getDescription, compute, getName",
source4_baseline_backup.cpp,4,74,8,0,86,"CelestialBody, FluidSolver, ResonanceParams, MUGESystem","step_function, compute_Ereact, compute_mu_s, compute_grad_Ms_r, compute_Bj","PI, c, G, num_strings, N"
source50.cpp,1,9,27,1,38,SystemData,"compute_volume, install_uqff_module, update_variable, add_variable, subtract_variable","G, H0, B_t, B_crit, Lambda"
source52.cpp,4,21,0,1,26,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MultiUQFFModule","compute, getName, getDescription, compute, getName",
source54.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, YoungStarsOutflowsUQFFModule","compute, getName, getDescription, compute, getName",
source56.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, BigBangGravityUQFFModule","compute, getName, getDescription, compute, getName",
source57.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MultiCompressedUQFFModule","compute, getName, getDescription, compute, getName",
source5_baseline_backup.cpp,4,106,8,0,118,"CelestialBody, ResonanceParams, MUGESystem, FluidSolver","compute_Ug1, compute_Ug2, compute_Ug3, compute_Um, output_json_params","N, dt_ns, visc, force_jet, PI"
source60.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MultiUQFFCompressionModule","compute, getName, getDescription, compute, getName",
source64.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UFEOrbModule","compute, getName, getDescription, compute, getName",
source65.cpp,4,34,0,1,39,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NebularUQFFModule","compute, getName, getDescription, compute, getName",
source66.cpp,4,29,0,1,34,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, RedDwarfUQFFModule","compute, getName, getDescription, compute, getName",
source67.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, InertiaUQFFModule","compute, getName, getDescription, compute, getName",
source68.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, HydrogenUQFFModule","compute, getName, getDescription, compute, getName",
source69.cpp,4,22,0,1,27,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFCompressionModule","compute, getName, getDescription, compute, getName",
source7.cpp,10,104,12,1,127,"CelestialBody, ResonanceParams, MUGESystem, FluidSolver, MeshData","compute_Ug1, compute_Ug2, compute_Ug3, compute_Um, output_json_params","PI, c, G, num_strings, N"
source70.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, M51UQFFModule","compute, getName, getDescription, compute, getName",
source71.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC1316UQFFModule","compute, getName, getDescription, compute, getName",
source72.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, V838MonUQFFModule","compute, getName, getDescription, compute, getName",
source73.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC1300UQFFModule","compute, getName, getDescription, compute, getName",
source74.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UQFFCompressedResonanceModule","compute, getName, getDescription, compute, getName",
source76.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC2264UQFFModule","compute, getName, getDescription, compute, getName",
source77.cpp,4,26,0,1,31,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, UGC10214UQFFModule","compute, getName, getDescription, compute, getName",
source78.cpp,4,28,0,1,33,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC4676UQFFModule","compute, getName, getDescription, compute, getName",
source79.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, RedSpiderUQFFModule","compute, getName, getDescription, compute, getName",
source8.cpp,13,32,0,1,46,"SymEngineAllocator, Units, MathErrorListener, SymEngineVisitor, VarCollectorVisitor","toString, checkEthical, feedbackLoop, highlightBlock, mousePressEvent",
source80.cpp,4,23,0,1,28,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SMBHBinaryUQFFModule","compute, getName, getDescription, compute, getName",
source81.cpp,4,29,0,1,34,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC346UQFFModule","compute, getName, getDescription, compute, getName",
source82.cpp,4,20,0,1,25,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, SMBHUQFFModule","compute, getName, getDescription, compute, getName",
source83.cpp,4,21,0,1,26,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, LENRUQFFModule","compute, getName, getDescription, compute, getName",
source84.cpp,4,21,0,1,26,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, LENRCalibUQFFModule","compute, getName, getDescription, compute, getName",
source85.cpp,4,29,0,1,34,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, NGC346UQFFModule","compute, getName, getDescription, compute, getName",
source86.cpp,4,36,0,1,41,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MUGEModule","compute, getName, getDescription, compute, getName",
source87.cpp,4,29,0,1,34,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, MUGEResonanceModule","compute, getName, getDescription, compute, getName",
source88.cpp,4,17,0,1,22,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, AndromedaUQFFModule","compute, getName, getDescription, compute, getName",
source89.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, AetherCouplingModule","compute, getName, getDescription, compute, getName",
source9.cpp,0,25,4,1,30,,"step_function, compute_Ereact, compute_mu_s, compute_grad_Ms_r, compute_Bj","PI, c, G, num_strings"
source90.cpp,4,14,0,1,19,"PhysicsTerm, DynamicVacuumTerm, QuantumCouplingTerm, BackgroundAetherModule","compute, getName, getDescription, compute, getName",
