Equation,Result,Unit,Description
Nuclear Binding Energy Verification (n=8),0.2197253433208489,(fractional error),
vacuum_modulation_floyd_sweet,1.0937785591190394,dimensionless,
volume_modulation_cosmic_egg,1.0099889226908725,dimensionless,
E_react,1.2992055984257145e+47,W/m³,
Vacuum Energy Density (λ_vac),7e-11,J/m³,
SCm Vacuum Density (λ_vac[SCm]),8.988004e+31,J/m³,
UA Vacuum Density (λ_vac[UA]),5.6471651231082e-12,J/m³,
Vacuum Energy Density (λ_vac),1.6711269024649013e-29,J/m³,
Base Gravity (Hubble + Magnetic),66743000.01454997,m/s²,
UQFF Unification (Time-Reversal),85164068.0,m/s²,
Cosmological Constant Acceleration,3.2956014666666664e-36,m/s²,
EM Acceleration (Vacuum Corrected),0.010524833473920851,m/s²,
Gravitational Wave (Spin-Down),1.3090303935444853e-13,m/s²,
Quantum Uncertainty (Heisenberg),1.4815205193352338e-34,m/s²,
Fluid Density Coupling,27957242463805.8,m/s²,
Oscillatory Wave Superposition,10806046117.362795,m/s²,
Dark Matter Perturbation,220.251911,m/s²,
Magnetic Field Decay,9.992081717097712e-06,T,
Spin Evolution (Angular Velocity),1.2562389505374778,rad/s,
Time-Reversal Factor,0.1,(dimensionless),
StarFormationMass,2780956571.0028815,m/s²,
StellarWindRamPressure,4000000000000.0,m/s²,
TapestryRadiationPressure,1.0160859275446556e+32,m/s²,
ClusterMassEvolution,4.33332805239117e+30,kg,
Westerlund2CompositeMUGE,1.0160859275446556e+32,m/s²,
GravitationalLensingAmplification,44717809.99999999,m/s²,
SupernovaMassEjection,1.1713085259733048e+29,kg,
CavityPressureDecay,9.999968314372126e-11,Pa,
StarburstMassGrowth,7.956001260455277e+35,kg,
BubbleExpansionRadius,18899697180255.918,m,
StellarWindFeedbackAcceleration,0.00042278828876440123,m/s²,
TidalInteractionStrength,1e-08,dimensionless,
MergerEnhancedStarFormation,2.1878999369771872e+42,kg,
HorseheadErosionMassLoss,3.1685668033798464e-08,dimensionless,
NebulaMassDecay,9.944993697720628e+30,kg,
MagneticFilamentDecay,9.999999683143225e-06,T,
FilamentSupportBuildup,3.168567305200654e-17,dimensionless,
TapestryDPM,2.364909939959973e-86,m/s²,
TapestryCompleteUQFF,366911.2741827885,m/s²,
ResonanceTerms,1.8757790422391316e-10,m/s²,
ResonanceSCFull,2.0633569464630446e-10,m/s²,
CompressedTerms,22424710.221505534,m/s²,
CompressedResonanceFull,3.669112741827885e+58,m/s²,
CrabResDPM,3.9807330915295164e-82,m/s²,
CrabResComplete,2.063356946463059e-10,m/s²,
CompressedTermsSys18_24,22424710.221505534,m/s²,
CompressedResonanceSys18_24,24667181.243656084,m/s²,
CompressedResonanceFramework,1.2333590621828042e+20,m/s²,
GenericCompressedUQFF,2.0022901e+32,m/s²,
GenericResonanceUQFF,1.4841672225928392e+18,m/s²,
MUGE_CompressedBase,66742999.99999999,m/s²,
MUGE_Expansion,2.3541857932e-10,m/s²,
MUGE_SuperconductiveAdjustment,66075569.99999999,m/s²,
MUGE_Envelope,46453127999.99999,m/s²,
MUGE_UgSum,366285584.0,m/s²,
MUGE_Cosmological,3.666666666666667e-47,m/s²,
MUGE_Quantum,1.11218116e-150,m/s²,
MUGE_Fluid,0.0066743,m/s²,
MUGE_Perturbation,17887124.0,m/s²,
MUGE_Compressed_Total,46970119278.00667,m/s²,
MUGE_Resonance_ADPM,62070990.0,m/s²,
MUGE_Resonance_ATHz,2.652267068025988e-60,m/s²,
MUGE_Resonance_AvacDiff,5.735245352400001e-25,m/s²,
MUGE_Resonance_ASuperFreq,220398832555.03665,m/s²,
MUGE_Resonance_AAetherRes,8.988003999999999e-13,m/s²,
MUGE_Resonance_Ug4i,66742999.99999999,m/s²,
MUGE_Resonance_AQuantumFreq,1.11218116e-140,m/s²,
MUGE_Resonance_AAetherFreq,2.9979999999999998e-43,m/s²,
MUGE_Resonance_AFluidFreq,0.0066743,m/s²,
MUGE_Resonance_Osc,135199999999577.5,m/s²,
MUGE_Resonance_AExpFreq,4.853226817878585e-13,m/s²,
MUGE_Resonance_FTRZ,135420527646122.55,m/s²,
MUGE_Resonance_Wormhole,6.3724948360000005e-43,m/s²,
MUGE_Resonance_Total,270841055292245.1,m/s²,
UniversalGravity1,100114500.0,m/s²,
UniversalGravity2,79290683.99999999,m/s²,
UniversalGravity3,120137399.99999999,m/s²,
UniversalGravity4,66742999.99999999,m/s²,
UniversalBuoyancy,-1.6043308579199995e-07,m/s²,
UniversalMagnetism,4.999875002087428e-08,J/m³,
UniversalAether,8.988004e-35,J/m³,
UnifiedField_F_U,366285583.9999998,m/s²,
BSM_TauLeptonDipole,0.0,dimensionless,
BSM_CKMVcb,0.0405,dimensionless,
BSM_LFVBranching,0.1,dimensionless,
BSM_VectorLikeQuark,5.91520339020979e-48,m/s²,
